Rk,Player,PTS/100 Poss.,MP,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
77,Dylan Harper,24.6,578,SAS,1,2,2025,Rutgers,2025-26,19,SAS,27,0,0,0.9,107,112,0.0,0.8,.071,-1.6,0.9,-0.7,0.2,14.3,4.3,11.8,8.1,25.2,2.4,0.8,11.9,24.4,G,harpedy01
78,Day'Ron Sharpe,24.5,391,PHO,1,29,2021,North Carolina,2021-22,20,BRK,32,8,0,1.2,118,111,0.8,0.5,.152,-0.3,-2.5,-2.8,-0.1,20.7,23.2,21.4,22.3,6.7,1.2,3.4,15.2,21.7,C,sharpda01
79,Andrew Nicholson,24.5,1249,ORL,1,19,2012,St. Bonaventure,2012-13,23,ORL,75,28,0,1.7,103,109,0.9,0.8,.065,-1.8,-0.9,-2.7,-0.2,15.1,6.2,17.1,11.7,6.1,1.0,2.0,13.0,22.1,F,nichoan01
80,Keldon Johnson,24.4,301,SAS,1,29,2019,Kentucky,2019-20,20,SAS,17,1,0,1.1,131,113,0.8,0.2,.174,1.5,0.0,1.5,0.3,19.1,3.6,16.8,10.2,7.2,2.2,0.6,10.7,17.4,G,johnske04
81,Sean May,24.4,398,CHA,1,13,2005,North Carolina,2005-06,21,CHA,23,1,0,0.4,96,104,-0.1,0.5,.047,-2.0,-0.6,-2.6,0.0,15.3,11.5,20.9,15.9,9.7,2.2,2.3,14.2,25.9,F-C,mayse01
82,Eric Gordon,24.4,2677,LAC,1,7,2008,Indiana,2008-09,20,LAC,78,65,0,4.6,112,115,3.9,0.7,.082,0.6,-1.0,-0.4,1.0,14.9,1.9,6.9,4.3,13.6,1.5,1.0,13.5,20.7,G-F,gordoer01
83,Roy Hibbert,24.4,1009,TOR,1,17,2008,Georgetown,2008-09,22,IND,70,42,0,2.1,107,107,1.0,1.2,.102,-3.1,0.1,-3.0,-0.3,16.1,12.4,14.1,13.3,7.9,1.0,5.6,10.2,23.3,C,hibbero01
84,Jordan Clarkson,24.3,1476,WAS,2,46,2014,Missouri,2014-15,22,LAL,59,38,0,2.4,107,112,2.0,0.4,.078,1.2,-0.9,0.2,0.8,16.9,4.0,10.5,7.1,23.8,1.8,0.7,12.6,23.0,G,clarkjo01
85,Cedric Coward,24.3,933,POR,1,11,2025,Washington State,2025-26,22,MEM,35,22,0,2.0,116,115,1.0,1.1,.105,0.3,0.0,0.4,0.6,15.2,6.3,20.0,13.2,16.5,1.0,1.1,12.5,20.8,F-G,cowarce01
86,Scoot Henderson,24.3,1765,POR,1,3,2023,,2023-24,19,POR,62,32,0,-1.7,97,120,-2.5,0.9,-0.045,-3.5,-2.3,-5.8,-1.7,9.5,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,G,hendesc01
87,Al Thornton,24.3,2158,LAC,1,14,2007,Florida State,2007-08,24,LAC,79,31,0,1.1,97,110,-0.5,1.6,.025,-1.9,-1.5,-3.4,-0.8,12.7,5.2,14.0,9.6,8.4,1.1,1.5,11.4,24.1,F,thornal01
88,Tre Johnson,24.3,718,WAS,1,6,2025,Texas,2025-26,19,WAS,30,12,0,0.3,110,124,0.3,0.1,.022,-0.5,-2.1,-2.6,-0.1,12.6,2.1,10.6,6.4,11.3,1.4,1.2,13.1,20.8,G,johnstr03
89,Grayson Allen,24.3,416,UTA,1,21,2018,Duke,2018-19,23,UTA,38,2,0,0.0,95,111,-0.4,0.4,.002,-4.2,-2.1,-6.3,-0.5,7.5,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,G,allengr01
90,Ike Diogu,24.3,1031,GSW,1,9,2005,Arizona State,2005-06,22,GSW,69,14,0,2.6,111,107,1.7,1.0,.123,-1.6,-0.6,-2.2,0.0,15.8,10.0,14.9,12.4,4.9,0.7,2.2,16.1,21.0,F,dioguik01
91,Devin Booker,24.2,2108,PHO,1,13,2015,Kentucky,2015-16,19,PHO,76,51,0,1.9,102,112,1.2,0.7,.043,-1.2,-1.7,-2.8,-0.5,11.9,1.4,8.4,4.8,15.8,1.0,0.8,14.0,23.0,G,bookede01
92,Eric Paschall,24.2,1654,GSW,2,41,2019,Villanova,2019-20,23,GSW,60,26,0,2.1,110,117,1.6,0.5,.062,-0.7,-2.0,-2.7,-0.3,14.5,5.2,13.1,9.0,12.7,0.9,0.7,11.4,21.4,F,pascher01
93,D.J. Augustin,24.2,1908,CHA,1,9,2008,Texas,2008-09,21,CHA,72,12,0,5.1,115,110,3.6,1.5,.128,1.4,-0.5,0.9,1.4,14.9,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,G,augusdj01
94,Chris Paul,24.2,2808,NOH,1,4,2005,Wake Forest,2005-06,20,NOK,78,78,0,10.4,114,104,6.8,3.6,.178,3.0,2.2,5.2,5.1,22.1,2.5,14.8,8.5,38.2,3.4,0.2,13.7,22.2,G,paulch01
95,Quentin Richardson,24.2,1358,LAC,1,18,2000,DePaul,2000-01,20,LAC,76,28,0,3.0,106,106,2.1,1.0,.106,2.0,-1.1,0.8,0.9,16.5,9.1,12.5,10.8,8.3,1.7,0.4,9.7,22.4,G-F,richaqu01
96,Drew Gooden,24.2,1873,MEM,1,4,2002,Kansas,2002-03,21,MEMORL,70,47,0,1.7,97,106,0.4,1.3,.043,-1.1,-1.9,-3.0,-0.4,15.0,9.8,17.7,13.7,7.8,1.5,1.3,14.7,24.5,F,goodedr01
97,Russell Westbrook,24.1,2668,OKC,1,4,2008,UCLA,2008-09,20,OKC,82,65,0,1.9,99,111,-0.1,2.0,.035,-0.1,-0.9,-1.0,0.7,15.2,7.6,9.7,8.6,27.5,2.1,0.4,17.6,25.8,G,westbru01
98,Quinten Post,24.1,686,GSW,2,52,2024,Boston College,2024-25,24,GSW,42,14,0,1.7,116,112,0.8,0.9,.116,0.1,0.0,0.1,0.4,14.2,5.3,18.3,11.6,12.2,1.1,2.5,10.3,19.6,F,postqu01
99,Tyler Herro,24.1,1508,MIA,1,13,2019,Kentucky,2019-20,20,MIA,55,8,0,1.6,103,112,0.2,1.3,.050,-0.4,-1.2,-1.6,0.1,12.5,1.2,14.9,8.3,12.7,1.1,0.6,11.4,22.3,G,herroty01
100,Malik Monk,24.0,854,CHA,1,11,2017,Kentucky,2017-18,19,CHO,63,0,0,0.0,96,112,-0.5,0.5,.000,-1.3,-2.0,-3.4,-0.3,10.2,1.0,7.5,4.2,16.9,1.1,0.9,10.0,24.9,G,monkma01
101,Jase Richardson,24.0,322,ORL,1,25,2025,Michigan State,2025-26,20,ORL,27,0,0,0.7,120,118,0.5,0.3,.110,0.5,-0.8,-0.3,0.1,14.6,4.7,8.5,6.6,16.6,1.2,0.5,11.5,19.3,G,richaja02
102,Zaccharie Risacher,23.9,1843,ATL,1,1,2024,,2024-25,19,ATL,75,73,0,1.8,108,118,0.6,1.1,.046,-1.7,-1.8,-3.5,-0.7,12.2,5.0,11.1,8.0,7.1,1.3,1.8,9.8,20.9,F,risacza01
103,Andrea Bargnani,23.9,1629,TOR,1,1,2006,,2006-07,21,TOR,65,2,0,1.9,99,106,0.2,1.7,.057,-1.1,-0.6,-1.8,0.1,12.8,3.7,14.8,9.2,5.1,1.0,2.5,13.5,22.6,F-C,bargnan01
104,Skal Labissière,23.9,612,PHO,1,28,2016,Kentucky,2016-17,20,SAC,33,12,0,1.3,110,110,0.7,0.5,.099,-0.9,-1.4,-2.3,0.0,16.8,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,F,labissk01
105,Franz Wagner,23.8,2429,ORL,1,8,2021,Michigan,2021-22,20,ORL,79,79,0,4.0,110,114,2.1,1.9,.079,-0.4,-0.3,-0.7,0.8,14.7,3.6,11.9,7.7,15.7,1.4,1.3,10.0,21.2,G-F,wagnefr01
106,Evan Fournier,23.8,428,DEN,1,20,2012,,2012-13,20,DEN,38,4,0,1.0,111,108,0.7,0.3,.115,-1.3,0.0,-1.4,0.1,13.8,1.6,7.4,4.6,15.5,2.2,0.2,15.9,20.4,G-F,fournev01
107,Tyler Hansbrough,23.8,511,IND,1,13,2009,North Carolina,2009-10,24,IND,29,1,0,0.7,101,106,0.1,0.6,.070,-2.2,-1.2,-3.3,-0.2,14.6,12.7,16.8,14.7,9.0,1.6,1.1,7.1,25.5,F,hansbty01
108,Dario Šarić,23.8,2129,ORL,1,12,2014,,2016-17,22,PHI,81,36,0,1.0,96,109,-1.2,2.2,.023,-1.3,-0.9,-2.3,-0.2,12.8,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,F-C,saricda01
109,Alec Burks,23.8,939,UTA,1,12,2011,Colorado,2011-12,20,UTA,59,0,0,1.5,105,109,1.1,0.4,.076,-0.6,-1.4,-2.0,0.0,14.0,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,G,burksal01
110,Andrew Wiggins,23.8,2969,CLE,1,1,2014,Kansas,2014-15,19,MIN,82,82,0,2.1,103,114,2.1,0.0,.034,-0.4,-2.0,-2.4,-0.3,13.9,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,F-G,wiggian01
111,Charlie Villanueva,23.5,2361,TOR,1,7,2005,Connecticut,2005-06,21,TOR,81,36,0,3.9,107,111,2.9,1.0,.079,0.7,-1.6,-0.9,0.6,16.4,9.0,18.4,13.5,6.5,1.3,2.1,8.9,21.7,F,villach01
112,Derik Queen,23.5,1018,ATL,1,13,2025,Maryland,2025-26,21,NOP,39,27,0,1.5,109,116,0.4,1.1,.068,-1.1,1.0,-0.1,0.5,16.9,6.8,24.8,15.5,24.2,1.9,3.6,17.6,22.4,F-C,queende01
113,Kemba Walker,23.5,1792,CHA,1,9,2011,Connecticut,2011-12,21,CHA,66,25,0,0.3,96,111,-0.2,0.5,.009,0.7,-1.4,-0.8,0.6,14.9,1.9,13.5,7.5,30.2,1.8,0.8,12.1,25.2,G,walkeke02
114,Cam Thomas,23.5,1176,NJN,1,27,2021,Louisiana State,2021-22,20,BRK,67,2,0,0.8,103,115,0.0,0.8,.033,-2.0,-1.4,-3.4,-0.4,11.7,1.5,13.1,7.5,9.7,1.4,0.6,9.1,22.1,G,thomaca02
115,A.J. Price,23.4,865,IND,2,52,2009,Connecticut,2009-10,23,IND,56,2,0,1.2,102,108,0.4,0.8,.065,-0.1,-0.4,-0.5,0.3,14.0,1.5,9.7,5.6,20.5,2.0,0.2,13.2,22.7,G,priceaj01
116,D'Angelo Russell,23.4,2259,LAL,1,2,2015,Ohio State,2015-16,19,LAL,80,48,0,0.0,96,112,-0.7,0.7,.001,-0.7,-1.6,-2.3,-0.1,13.2,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,G,russeda01
117,Michael Carter-Williams,23.4,2414,PHI,1,11,2013,Syracuse,2013-14,22,PHI,70,70,0,1.3,96,108,-0.8,2.1,.026,-0.2,-0.2,-0.5,0.9,15.5,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,G,cartemi01
118,Derrick Rose,23.4,3000,CHI,1,1,2008,Memphis,2008-09,20,CHI,81,80,0,4.9,108,113,3.4,1.5,.078,1.1,-1.5,-0.4,1.2,16.0,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,G,rosede01
119,Tim Hardaway Jr.,23.4,1875,NYK,1,24,2013,Michigan,2013-14,21,NYK,81,1,0,3.1,112,114,2.7,0.4,.080,0.0,-1.8,-1.8,0.1,12.7,1.2,6.6,3.8,5.8,1.2,0.3,5.9,19.6,G,hardati02
120,Randy Foye,23.4,1879,BOS,1,7,2006,Villanova,2006-07,23,MIN,82,12,0,2.3,102,109,1.0,1.3,.058,-0.3,-0.6,-1.0,0.5,14.0,3.2,10.5,6.9,20.9,1.5,0.9,16.4,22.9,G,foyera01
121,Jonny Flynn,23.4,2339,MIN,1,6,2009,Syracuse,2009-10,20,MIN,81,81,0,0.1,97,114,-0.6,0.7,.002,-0.8,-2.1,-2.9,-0.5,13.0,1.1,8.1,4.6,24.7,1.8,0.1,17.9,24.2,G,flynnjo01
122,Luka Garza,23.3,389,DET,2,52,2021,Iowa,2021-22,23,DET,32,5,0,0.8,114,116,0.5,0.2,.093,-0.5,-2.0,-2.5,-0.1,15.6,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,F-C,garzalu01
123,John Henson,23.3,827,MIL,1,14,2012,North Carolina,2012-13,22,MIL,63,9,0,1.9,103,102,0.6,1.2,.109,-0.7,-1.0,-1.7,0.1,18.2,14.5,24.4,19.3,6.3,1.2,3.7,11.0,22.6,C-F,hensojo01
124,Bradley Beal,23.3,1745,WAS,1,3,2012,Florida,2012-13,19,WAS,56,46,0,3.0,102,105,1.0,2.0,.082,0.0,0.2,0.2,1.0,13.6,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,G,bealbr01
125,Al Jefferson,23.3,1051,BOS,1,15,2004,,2004-05,20,BOS,71,1,0,2.7,108,104,1.3,1.4,.123,-1.7,-0.6,-2.3,-0.1,16.6,13.5,21.0,17.3,3.9,1.1,3.9,13.3,21.2,C-F,jeffeal01
126,Gerald Green,23.3,374,BOS,1,18,2005,,2005-06,20,BOS,32,3,0,0.5,102,108,0.2,0.3,.064,-2.3,-1.2,-3.5,-0.1,13.1,3.3,9.9,6.7,8.5,1.8,0.8,12.5,21.7,G-F,greenge01
127,Darren Collison,23.2,2109,NOH,1,21,2009,UCLA,2009-10,22,NOH,76,37,0,2.9,105,112,1.9,1.1,.067,0.9,-1.8,-0.8,0.6,16.5,2.2,8.6,5.3,32.9,1.9,0.1,18.9,23.1,G,collida01
128,Dalton Knecht,23.2,1494,LAL,1,17,2024,Tennessee,2024-25,23,LAL,78,16,0,2.7,117,118,1.7,1.0,.086,-0.1,-1.7,-1.8,0.1,12.7,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5,G,knechda01
129,Keyonte George,23.2,2023,UTA,1,16,2023,Baylor,2023-24,20,UTA,75,44,0,-0.3,104,124,-0.4,0.1,-0.008,-1.5,-2.9,-4.4,-1.2,10.4,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,G,georgke01
130,Marcus Fizer,23.2,1580,CHI,1,4,2000,Iowa State,2000-01,22,CHI,72,13,0,-0.7,89,108,-1.3,0.6,-0.022,-3.3,-2.8,-6.1,-1.6,11.0,5.5,18.5,11.8,9.4,1.0,0.9,14.7,24.7,F,fizerma01
131,Donatas Motiejūnas,23.2,538,MIN,1,20,2011,,2012-13,22,HOU,44,14,0,0.7,102,109,0.4,0.3,.061,-1.9,-1.6,-3.5,-0.2,12.2,7.7,11.9,9.8,9.5,0.6,1.4,13.6,22.1,F-C,motiedo01
132,Dajuan Wagner,23.2,1385,CLE,1,6,2002,Memphis,2002-03,19,CLE,47,24,0,0.3,96,111,0.2,0.1,.011,-1.9,-2.8,-4.7,-0.9,10.9,1.6,5.1,3.3,16.8,1.4,0.4,11.2,23.8,G,wagneda02
133,Harry Giles,23.2,820,POR,1,20,2017,Duke,2018-19,20,SAC,58,0,0,1.0,102,109,0.0,1.0,.056,-3.4,0.4,-3.0,-0.2,14.4,8.1,20.1,14.0,15.2,1.8,2.3,15.8,23.2,F-C,gilesha01
134,Kenneth Faried,23.1,1037,DEN,1,22,2011,Morehead State,2011-12,22,DEN,46,39,0,4.6,123,103,3.2,1.3,.212,2.4,-0.2,2.2,1.1,21.9,16.5,22.9,19.8,5.5,1.7,3.6,12.4,18.7,F-C,farieke01
135,Cole Anthony,23.1,1273,ORL,1,15,2020,North Carolina,2020-21,20,ORL,47,34,0,0.0,98,116,-0.9,0.9,-0.001,-1.9,-1.4,-3.3,-0.4,12.1,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,G,anthoco01
136,Trayce Jackson-Davis,23.1,1130,WAS,2,57,2023,Indiana,2023-24,23,GSW,68,16,0,4.8,136,112,3.2,1.6,.205,1.5,1.2,2.8,1.4,21.6,13.1,19.4,16.3,10.4,1.2,6.1,11.2,16.4,F,jackstr02
137,Courtney Alexander,23.1,1382,ORL,1,13,2000,Fresno State,2000-01,23,DALWAS,65,24,0,0.8,96,109,0.3,0.5,.027,-2.4,-1.9,-4.3,-0.8,11.6,3.5,8.4,5.9,8.0,1.7,0.3,10.5,23.2,G,alexaco02
138,Sam Young,23.1,1321,MEM,2,36,2009,Pittsburgh,2009-10,24,MEM,80,1,0,1.2,102,112,0.6,0.7,.044,-1.5,-1.7,-3.1,-0.4,13.0,6.8,11.0,8.9,6.2,1.3,1.2,14.1,22.1,F,youngsa01
139,Stephen Curry,23.1,2896,GSW,1,7,2009,Davidson,2009-10,21,GSW,80,77,0,4.7,107,111,3.0,1.6,.077,1.1,-0.5,0.7,2.0,16.3,1.8,12.0,6.8,24.6,2.5,0.5,16.5,21.8,G,curryst01
140,Aaron Brooks,23.1,608,HOU,1,26,2007,Oregon,2007-08,23,HOU,51,0,0,1.4,107,106,0.6,0.8,.112,-0.5,0.2,-0.2,0.3,13.1,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,G,brookaa01
141,J.R. Smith,23.1,1859,NOH,1,18,2004,,2004-05,19,NOH,76,56,0,0.2,95,110,-0.7,0.9,.006,-1.5,-1.4,-2.9,-0.4,10.9,2.4,7.5,4.8,14.6,1.6,0.5,11.7,23.2,G-F,smithjr01
142,Nikola Jokić,23.0,1733,DEN,2,41,2014,,2015-16,20,DEN,80,55,0,6.7,118,104,4.5,2.2,.185,2.6,1.3,3.9,2.6,21.5,11.4,24.7,17.9,18.1,2.3,2.3,13.2,19.9,C-F,jokicni01
143,Kevin Love,23.0,2048,MEM,1,5,2008,UCLA,2008-09,20,MIN,81,37,0,5.3,112,109,3.4,1.9,.124,0.4,-1.6,-1.1,0.4,18.3,15.1,27.3,21.0,6.8,0.9,1.9,12.4,21.0,F-C,loveke01
144,Caron Butler,23.0,2858,MIA,1,10,2002,Connecticut,2002-03,22,MIA,78,78,0,5.1,99,102,1.6,3.6,.086,-0.4,1.0,0.5,1.8,15.1,5.3,10.9,8.0,14.1,2.6,0.9,13.8,22.9,F,butleca01
145,Nate Robinson,22.9,1544,PHO,1,21,2005,Washington,2005-06,21,NYK,72,26,0,1.5,103,112,1.0,0.5,.046,-1.0,-1.1,-2.1,-0.1,12.6,4.4,8.8,6.6,17.0,2.0,0.1,14.8,22.5,G,robinna01
146,RJ Barrett,22.9,1704,NYK,1,3,2019,Duke,2019-20,19,NYK,56,55,0,-0.5,95,114,-1.6,1.1,-0.015,-2.9,-1.5,-4.3,-1.0,10.7,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,G-F,barrerj01
147,Isaiah Thomas,22.9,1656,SAC,2,60,2011,Washington,2011-12,22,SAC,65,37,0,4.3,116,113,4.2,0.0,.124,2.4,-1.6,0.8,1.2,17.6,3.0,8.4,5.6,25.6,1.6,0.4,13.9,19.8,G,thomais02
148,Chris Duarte,22.9,1541,IND,1,13,2021,Oregon,2021-22,24,IND,55,39,0,0.9,104,117,0.2,0.7,.029,-1.2,-1.1,-2.3,-0.1,12.3,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,G,duartch01
149,MarShon Brooks,22.9,1648,BOS,1,25,2011,Providence,2011-12,23,NJN,56,47,0,0.8,98,111,0.5,0.3,.022,-0.7,-1.7,-2.4,-0.2,12.9,4.8,9.4,7.0,14.6,1.7,0.7,14.3,22.9,G-F,brookma01
150,Brook Lopez,22.8,2501,NJN,1,10,2008,Stanford,2008-09,20,NJN,82,75,0,5.8,110,108,3.2,2.7,.112,-0.3,-0.3,-0.6,0.9,17.9,10.6,21.2,15.8,6.2,0.9,4.9,13.5,20.3,C,lopezbr01
151,Victor Oladipo,22.8,2487,ORL,1,2,2013,Indiana,2013-14,21,ORL,80,44,0,1.3,94,106,-1.4,2.8,.026,-1.9,0.4,-1.4,0.3,13.6,1.9,13.1,7.5,21.9,2.7,1.2,19.2,24.4,G,oladivi01
152,Alex Sarr,22.8,1814,WAS,1,2,2024,,2024-25,19,WAS,67,67,0,-0.3,99,117,-1.6,1.3,-0.007,-2.2,-1.0,-3.3,-0.6,12.9,7.1,17.9,12.5,13.9,1.2,5.0,11.2,23.5,F,sarral01
153,Greg Oden,22.8,1314,POR,1,1,2007,Ohio State,2008-09,21,POR,61,39,0,4.6,116,104,2.6,2.0,.167,-1.4,0.3,-1.1,0.3,18.1,15.7,24.5,20.0,3.9,1.1,4.2,16.2,19.3,C,odengr01
154,Asa Newell,22.8,317,IND,1,23,2025,Georgia,2025-26,20,ATL,29,0,0,0.7,121,116,0.4,0.3,.112,-0.6,-0.6,-1.2,0.1,14.7,8.6,11.8,10.2,7.1,1.5,2.6,12.3,17.2,F,newelas01
155,Jayson Tatum,22.7,2443,BOS,1,3,2017,Duke,2017-18,19,BOS,80,80,0,7.1,111,103,3.0,4.0,.139,0.0,1.2,1.2,2.0,15.2,2.3,15.6,9.0,8.3,1.7,2.0,10.7,19.4,F,tatumja01
156,Buddy Hield,22.7,1888,NOH,1,6,2016,Oklahoma,2016-17,24,NOPSAC,82,55,0,1.3,100,112,0.0,1.3,.032,-0.6,-1.4,-2.0,0.0,11.8,2.0,13.5,7.8,10.3,1.0,0.4,11.2,21.3,G-F,hieldbu01
157,Ivica Zubac,22.7,609,LAL,2,32,2016,,2016-17,19,LAL,38,11,0,1.1,108,110,0.6,0.5,.086,-1.2,-0.6,-1.7,0.0,17.0,7.1,21.9,14.3,8.1,1.1,4.4,10.4,20.3,C,zubaciv01
158,Juan Dixon,22.7,647,WAS,1,17,2002,Maryland,2002-03,24,WAS,42,3,0,0.1,90,105,-0.5,0.5,.005,-2.6,-1.2,-3.8,-0.3,11.0,2.4,10.8,6.6,11.3,2.2,0.3,12.6,24.3,G,dixonju01
159,Rudy Fernández,22.7,1993,PHO,1,24,2007,,2008-09,23,POR,78,4,0,6.1,120,109,4.3,1.8,.147,2.6,0.4,3.0,2.5,15.5,2.9,10.1,6.4,12.7,1.9,0.5,11.0,18.4,G,fernaru01
160,Toney Douglas,22.6,1087,LAL,1,29,2009,Florida State,2009-10,23,NYK,56,12,0,2.2,113,113,1.8,0.4,.097,0.5,-0.8,-0.4,0.5,14.9,4.1,7.2,5.6,16.6,2.0,0.2,11.6,19.8,G,douglto01
161,JaVale McGee,22.6,1143,WAS,1,18,2008,Nevada,2008-09,21,WAS,75,14,0,2.0,107,110,1.1,0.9,.084,-1.8,-1.1,-2.9,-0.3,17.0,12.0,18.4,15.1,3.4,1.5,5.4,11.7,20.7,C,mcgeeja01
162,Amar'e Stoudemire,22.6,2570,PHO,1,9,2002,,2002-03,20,PHO,82,71,0,6.2,103,101,2.6,3.6,.116,-0.9,-0.4,-1.4,0.4,16.2,10.9,20.9,15.9,5.0,1.3,2.5,15.3,21.5,F-C,stoudam01
163,Chase Budinger,22.5,1488,DET,2,44,2009,Arizona,2009-10,21,HOU,74,4,0,3.1,111,110,1.9,1.2,.100,1.1,-0.7,0.5,0.9,14.1,2.8,14.6,8.5,9.7,1.2,0.5,7.4,19.4,F,budinch01
164,Ben Simmons,22.5,2732,PHI,1,1,2016,Louisiana State,2017-18,21,PHI,81,81,0,9.2,111,102,4.2,5.0,.162,2.0,2.5,4.5,4.5,20.0,5.9,19.5,13.0,37.4,2.5,2.1,19.5,22.3,G-F,simmobe01
165,Myles Turner,22.5,1367,IND,1,11,2015,Texas,2015-16,19,IND,60,30,0,3.1,103,101,0.8,2.3,.109,-2.2,0.6,-1.6,0.1,15.4,5.5,21.0,13.3,5.0,0.9,5.1,10.3,20.9,C-F,turnemy01
166,Gilbert Arenas,22.5,1155,GSW,2,31,2001,Arizona,2001-02,20,GSW,47,30,0,2.7,110,108,2.1,0.7,.114,1.0,0.0,1.0,0.9,17.0,3.7,8.7,6.1,24.8,3.0,0.6,17.6,20.1,G,arenagi01
167,Jamal Murray,22.5,1764,DEN,1,7,2016,Kentucky,2016-17,19,DEN,82,10,0,1.3,103,114,0.6,0.7,.037,-0.6,-1.4,-2.0,0.0,11.9,2.6,10.7,6.7,14.0,1.4,1.1,12.6,21.6,G,murraja01
168,James Bouknight,22.4,304,CHA,1,11,2021,Connecticut,2021-22,21,CHO,31,0,0,0.0,100,117,-0.1,0.1,.001,-3.4,-3.7,-7.1,-0.4,10.1,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,G,bouknja01
169,Antonio Reeves,22.4,660,ORL,2,47,2024,Kentucky,2024-25,24,NOP,44,6,0,0.4,111,123,0.4,0.0,.029,-1.2,-2.0,-3.2,-0.2,11.7,2.9,7.6,5.1,8.8,1.5,0.6,10.2,18.8,G,reevean01
170,DeJuan Blair,22.4,1494,SAS,2,37,2009,Pittsburgh,2009-10,20,SAS,82,23,0,4.6,108,101,1.8,2.8,.147,-1.0,0.4,-0.7,0.5,17.7,16.0,25.1,20.6,7.1,1.8,1.9,16.5,20.8,F-C,blairde01
171,James Harden,22.3,1738,OKC,1,3,2009,Arizona State,2009-10,20,OKC,76,0,0,4.5,109,104,2.0,2.5,.124,-0.7,1.2,0.5,1.1,14.0,3.2,12.7,8.1,12.3,2.4,0.9,13.4,20.4,G,hardeja01
172,Kelly Olynyk,22.3,1400,DAL,1,13,2013,Gonzaga,2013-14,22,BOS,70,9,0,2.9,107,107,1.5,1.4,.101,-0.9,-0.3,-1.2,0.3,15.2,11.0,18.8,14.8,13.1,1.3,1.5,16.0,21.0,C-F,olynyke01
173,Tre Mann,22.3,1367,OKC,1,18,2021,Florida,2021-22,20,OKC,60,26,0,0.1,97,114,-1.0,1.0,.002,-3.3,-1.1,-4.4,-0.8,10.2,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22.0,G,manntr01
174,Eddy Curry,22.3,1150,CHI,1,4,2001,,2001-02,19,CHI,72,31,0,1.8,103,107,1.0,0.8,.075,-2.4,-1.9,-4.4,-0.7,14.4,11.0,16.8,13.8,4.0,0.7,3.4,13.4,20.7,C,curryed01
175,Aaron Holiday,22.3,646,IND,1,23,2018,UCLA,2018-19,22,IND,50,0,0,0.9,102,108,0.1,0.8,.065,-1.7,0.1,-1.6,0.1,11.9,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,G,holidaa01
