season,height_in,position_group,count,minutes
2010,75.0,Guard,2.0,1987.9916666666663
2010,76.0,Guard,3.0,3453.7016666666664
2010,76.0,Guard-Forward,1.0,1871.5966666666664
2010,77.0,Guard,1.0,1738.36
2010,78.0,Forward-Guard,1.0,1321.0466666666666
2010,78.0,Guard,1.0,2676.58
2010,78.0,Guard-Forward,2.0,3427.163333333334
2010,79.0,Center-Forward,1.0,1494.3166666666666
2010,79.0,Forward,3.0,2899.121666666667
2010,80.0,Forward,1.0,535.4066666666666
2010,81.0,Forward,2.0,4134.674999999999
2010,82.0,Forward,2.0,2615.59
2010,82.0,Forward-Center,1.0,624.0983333333334
2010,87.0,Center,1.0,883.2966666666666
2011,73.0,Guard,1.0,1840.5333333333333
2011,75.0,Guard,1.0,2606.055
2011,78.0,Forward-Guard,1.0,527.4316666666666
2011,78.0,Guard-Forward,1.0,1797.4016666666666
2011,79.0,Forward,1.0,733.5716666666667
2011,79.0,Forward-Guard,1.0,2069.37
2011,79.0,Guard-Forward,1.0,2541.3283333333334
2011,80.0,Forward,2.0,2514.9266666666667
2011,81.0,Center-Forward,1.0,1601.753333333333
2011,81.0,Forward,1.0,1535.7216666666666
2011,82.0,Center,1.0,2309.4266666666667
2011,82.0,Center-Forward,1.0,1029.513333333333
2011,82.0,Forward-Center,2.0,2856.491666666666
2011,83.0,Forward-Center,1.0,872.1616666666666
2012,69.0,Guard,1.0,1655.44
2012,72.0,Guard,1.0,1792.0466666666666
2012,74.0,Guard,4.0,5321.719999999999
2012,75.0,Guard,2.0,1672.3733333333334
2012,77.0,Guard,4.0,5900.341666666666
2012,78.0,Forward,1.0,1534.3966666666668
2012,80.0,Center,1.0,1455.22
2012,80.0,Forward,2.0,1896.7
2012,81.0,Center-Forward,1.0,1423.753333333333
2012,81.0,Forward,2.0,3235.103333333333
2012,82.0,Center,1.0,874.435
2012,84.0,Forward,1.0,1077.5583333333334
2013,74.0,Guard,2.0,3558.7916666666665
2013,75.0,Guard,1.0,1756.305
2013,76.0,Guard,3.0,3739.9
2013,77.0,Guard,2.0,1512.4266666666667
2013,78.0,Forward,3.0,4071.928333333333
2013,79.0,Forward,2.0,2399.8683333333333
2013,79.0,Forward-Guard,1.0,1973.605
2013,81.0,Center-Forward,1.0,637.9166666666666
2013,81.0,Forward,1.0,1249.4083333333333
2013,82.0,Forward,1.0,1055.715
2013,82.0,Forward-Center,1.0,1845.9516666666664
2013,83.0,Forward-Center,1.0,2033.1783333333333
2013,84.0,Forward-Center,1.0,1206.2516666666668
2014,72.0,Guard,1.0,2262.43
