Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,Player-additional
170,Jayden Gardner,30.4,30.6,31,2018-19,East Carolina,31,31,949,166,337,164,327,2,10,171,228,93,169,262,39,24,14,75,88,505,.493,.502,.200,.750,.567,.496,F,FR,jayden-gardner-1
171,Devin Cannady,30.4,22.0,29,2015-16,Princeton,29,0,638,100,206,43,81,57,125,80,90,19,53,72,36,31,5,33,57,337,.485,.531,.456,.889,.677,.624,G,FR,devin-cannady-1
172,AJ Green,30.4,29.9,34,2018-19,Northern Iowa,34,34,1017,184,449,113,245,71,204,70,81,13,90,103,77,21,2,94,69,509,.410,.461,.348,.864,.522,.489,G,FR,aj-green-1
173,Jalen Johnson,30.4,21.4,13,2020-21,Duke,13,8,278,57,109,49,91,8,18,24,38,20,59,79,29,15,16,33,29,146,.523,.538,.444,.632,.575,.560,F,FR,jalen-johnson-24
174,De'Aaron Fox,30.4,29.6,36,2016-17,Kentucky,36,34,1064,214,447,197,378,17,69,156,212,21,122,143,165,53,7,87,90,601,.479,.521,.246,.736,.549,.498,G,FR,deaaron-fox-1
175,QJ Peterson,30.4,32.9,35,2013-14,VMI,35,35,1152,218,549,140,305,78,244,150,198,63,133,196,72,59,12,76,81,664,.397,.459,.320,.758,.516,.468,G,FR,qj-peterson-1
176,Thomas Bryant,30.4,22.6,35,2015-16,Indiana,35,35,791,157,230,152,215,5,15,96,136,70,132,202,34,17,32,58,99,415,.683,.707,.333,.706,.704,.693,C,FR,thomas-bryant-1
177,Airious Bailey,30.4,33.3,30,2024-25,Rutgers,30,30,1000,203,441,156,305,47,136,74,107,62,153,215,38,30,38,61,83,527,.460,.511,.346,.692,.536,.514,G,FR,airious-bailey-1
178,Jon Severe,30.4,32.9,31,2013-14,Fordham,31,23,1021,163,493,84,262,79,231,131,165,31,56,87,63,29,6,82,69,536,.331,.321,.342,.794,.469,.411,G,FR,jon-severe-1
179,Andrew Wiggins,30.3,32.8,35,2013-14,Kansas,35,35,1148,189,422,146,296,43,126,176,227,76,129,205,54,41,34,80,94,597,.448,.493,.341,.775,.563,.499,G,FR,andrew-wiggins-1
