player,rookie_season,minutes,pts_per_100,poss_est,player_id,usg_pct
Brian Cook,2004,437.77166666666665,91.00516674495069,170.32,2567.0,19.0
Brook Lopez,2009,2501.401666666666,98.29909432295118,1086.48,201572.0,23.3
Bruce Brown,2019,1449.3166666666666,82.55693581780538,386.4,1628971.0,15.9
Bryce McGowens,2023,786.9966666666667,87.79443254817987,280.2,1631121.0,14.7
Bub Carrington,2025,2457.79,87.11139896373057,926.4,1642267.0,15.8
Buddy Hield,2017,1888.1833333333332,96.06851260205892,901.44,1627741.0,23.6
Cade Cunningham,2022,2088.055,83.20138619185612,1338.92,1630595.0,28.7
Caleb Houstan,2023,812.19,92.82416313966912,207.92,1631216.0,12.2
Cam Reddish,2020,1550.745,86.47085506917668,705.44,1629629.0,18.3
Cam Thomas,2022,1176.06,94.33962264150942,604.2,1630560.0,26.8
Cam Whitmore,2024,880.3333333333334,102.97360745536032,562.28,1641715.0,23.1
Cameron Payne,2016,697.6133333333333,85.09742602838585,332.56,1626166.0,21.2
Carlos Boozer,2003,2047.9583333333333,100.5611560808462,805.48,2430.0,19.6
Carmelo Anthony,2004,2991.2316666666666,88.78023674729799,1943.0,2546.0,28.6
Caron Butler,2003,2855.651666666666,86.46508279337652,1389.0,2406.0,18.3
Cason Wallace,2024,1691.9216666666666,111.4687649022413,503.28,1641717.0,12.4
Chandler Hutchison,2019,894.615,91.33694958519465,250.72,1628990.0,18.3
Chandler Parsons,2012,1804.365,90.16738921001928,664.32,202718.0,18.2
Channing Frye,2006,1572.355,95.731474407945,837.76,101112.0,19.89999999999999
Charles Jenkins,2012,892.8933333333333,80.67144719687091,368.16,202724.0,14.499999999999998
Charlie Villanueva,2006,2361.0066666666667,94.9161709031909,1109.4,101111.0,21.5
Chase Budinger,2010,1488.2883333333334,100.87827048274168,651.28,201978.0,19.5
Chris Bosh,2004,2516.485,91.04174597132344,945.72,2547.0,21.7
Chris Duarte,2022,1540.8266666666666,94.70195191245332,760.28,1630537.0,18.1
Chris Duhon,2005,2171.7633333333333,76.51458019105078,636.48,2768.0,14.9
Chris Kaman,2004,1850.2966666666664,76.47743992153016,652.48,2549.0,18.5
