Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/100 Poss.,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
99,Diamond Stone,32.1,23.1,35,2015-16,Maryland,35,22,12.3,21.7,12.3,21.7,0.0,0.0,7.5,9.9,5.7,8.2,13.8,1.1,1.3,4.1,3.9,5.9,32.1,.568,.568,,.761,.610,.568,C,FR,diamond-stone-1
100,Elijah Bryant,32.1,25.5,33,2014-15,Elon,33,13,10.1,26.4,7.1,17.8,3.0,8.6,8.9,11.9,3.1,6.4,9.5,6.1,2.9,0.9,7.9,6.0,32.1,.382,.398,.349,.751,.501,.439,G,FR,elijah-bryant-1
101,Anthony Edwards,32.1,33.0,32,2019-20,Georgia,32,32,10.7,26.5,6.9,13.7,3.8,12.9,6.9,9.0,1.3,7.5,8.8,4.8,2.3,0.9,4.6,3.7,32.1,.402,.504,.294,.772,.520,.473,G,FR,anthony-edwards-2
102,Alex Chaikin,32.0,26.5,32,2024-25,Lafayette,32,19,10.1,20.3,4.4,8.3,5.7,12.0,6.0,7.2,1.1,4.8,5.9,2.4,1.3,0.4,3.1,4.2,32.0,.498,.526,.479,.840,.675,.640,G,FR,alex-chaikin-1
103,Brandon McCoy,32.0,28.8,33,2017-18,UNLV,33,33,11.9,21.8,11.7,21.3,0.2,0.5,8.0,11.0,5.9,13.6,19.5,1.0,0.9,3.4,5.0,5.0,32.0,.545,.550,.333,.725,.590,.548,F,FR,brandon-mccoy-1
104,Hunter Dickinson,32.0,26.0,28,2020-21,Michigan,28,23,12.7,21.2,12.7,20.9,0.0,0.3,6.7,9.0,4.9,11.8,16.7,2.0,0.7,3.2,5.2,5.8,32.0,.598,.607,.000,.739,.628,.598,C,FR,hunter-dickinson-1
105,Ray'Sean Taylor,32.0,32.3,21,2021-22,SIU Edwardsville,21,21,11.7,26.9,7.3,14.5,4.4,12.4,4.1,5.3,1.9,7.3,9.2,5.8,3.2,0.3,5.5,4.7,32.0,.437,.506,.357,.770,.544,.519,G,FR,raysean-taylor-1
106,Andrew Rowsey,32.0,36.1,32,2013-14,UNC Asheville,32,32,10.0,23.2,4.7,10.3,5.2,12.9,6.8,8.1,0.7,5.1,5.8,4.6,2.1,0.1,5.0,3.1,32.0,.429,.459,.405,.836,.590,.541,G,FR,andrew-rowsey-1
107,Markus Burton,32.0,33.8,33,2023-24,Notre Dame,33,33,11.6,27.6,9.3,19.9,2.3,7.8,6.4,7.8,1.2,4.9,6.1,7.9,3.5,0.4,6.8,5.3,32.0,.421,.468,.300,.821,.510,.463,G,FR,markus-burton-1
108,Evan Boudreaux,31.9,32.1,27,2015-16,Dartmouth,27,27,10.3,22.7,8.5,18.1,1.9,4.6,9.3,11.3,4.3,12.7,16.9,2.1,1.5,0.5,4.7,4.8,31.9,.455,.467,.406,.828,.567,.496,F,FR,evan-boudreaux-1
109,Souley Boum,31.9,20.3,36,2017-18,San Francisco,36,12,9.1,25.2,5.3,14.6,3.8,10.5,9.8,11.8,1.7,6.0,7.7,3.0,1.5,0.4,5.0,4.9,31.9,.363,.365,.362,.829,.518,.439,G,FR,souley-boum-1
110,Johni Broome,31.9,25.8,30,2020-21,Morehead State,30,27,13.3,23.3,13.3,23.3,0.0,0.0,5.2,8.5,7.0,13.9,20.9,1.5,1.4,4.3,4.4,4.7,31.9,.571,.571,,.618,.583,.571,F,FR,johni-broome-1
111,Nick Muszynski,31.8,24.9,32,2018-19,Belmont,32,32,13.4,22.2,12.8,20.7,0.5,1.5,4.5,5.8,2.7,9.8,12.5,5.9,1.3,4.7,3.4,4.4,31.8,.604,.621,.364,.779,.638,.616,C,FR,nick-muszynski-1
112,David Collette,31.8,25.5,31,2014-15,Utah State,31,31,13.1,22.1,12.9,21.6,0.2,0.5,5.5,9.3,3.8,8.7,12.5,3.0,2.0,4.5,2.9,9.2,31.8,.591,.596,.333,.595,.600,.594,F,FR,david-collette-1
113,Christian Keeling,31.8,31.2,31,2016-17,Charleston Southern,31,28,10.8,23.7,9.4,19.4,1.5,4.3,8.7,11.1,2.4,10.6,13.0,2.5,1.7,0.5,3.1,3.1,31.8,.458,.483,.342,.781,.549,.489,G,FR,christian-keeling-1
114,Desmond Cambridge Jr.,31.8,30.0,27,2017-18,Brown,27,27,10.9,27.1,6.3,13.3,4.6,13.8,5.4,7.1,1.7,6.6,8.3,2.2,2.0,1.8,2.7,5.2,31.8,.401,.469,.335,.769,.522,.486,G,FR,desmond-cambridge-2
115,Blake Harper,31.7,34.4,32,2024-25,Howard,32,32,9.2,20.7,7.2,15.6,2.0,5.0,11.2,13.6,1.6,8.4,10.0,5.6,1.6,0.1,4.4,5.0,31.7,.447,.461,.404,.825,.585,.496,G,FR,blake-harper-1
116,Brandon Miller,31.7,32.6,37,2022-23,Alabama,37,37,10.1,23.5,5.3,10.9,4.8,12.6,6.7,7.8,3.5,10.4,13.9,3.5,1.5,1.5,3.7,4.0,31.7,.430,.483,.384,.859,.583,.533,F,FR,brandon-miller-3
117,Braden Frager,31.7,22.4,19,2025-26,Nebraska,19,1,11.0,20.5,6.7,9.1,4.3,11.4,5.5,6.6,2.7,7.5,10.3,2.3,1.5,0.3,1.9,3.4,31.7,.537,.742,.373,.833,.672,.641,F,FR,braden-frager-1
118,K.D. Johnson,31.7,22.5,16,2020-21,Georgia,16,0,10.0,23.6,6.5,14.5,3.5,9.1,8.2,13.3,1.6,4.8,6.5,2.8,4.3,0.4,5.0,6.6,31.7,.422,.444,.387,.615,.529,.497,G,FR,kd-johnson-1
119,R.J. Hunter,31.7,33.5,31,2012-13,Georgia State,31,31,10.5,24.0,6.1,12.0,4.4,12.0,6.2,8.1,1.8,7.7,9.5,3.4,3.2,1.6,3.1,3.1,31.7,.439,.513,.365,.776,.570,.530,G,FR,rj-hunter-1
120,Kyle Filipowski,31.7,29.1,36,2022-23,Duke,36,36,11.0,25.0,9.0,17.8,2.0,7.2,7.6,9.9,5.2,13.6,18.8,3.3,2.7,1.5,5.2,5.4,31.7,.441,.505,.282,.765,.533,.481,C,FR,kyle-filipowski-1
121,Keyonte George,31.6,28.6,33,2022-23,Baylor,33,33,9.7,25.8,4.9,11.5,4.8,14.3,7.4,9.4,2.1,6.5,8.6,5.7,2.3,0.4,5.9,4.4,31.6,.376,.424,.338,.793,.524,.470,G,FR,keyonte-george-1
122,Cleveland Melvin,31.6,26.2,27,2010-11,DePaul,27,18,13.4,25.6,13.4,25.5,0.0,0.1,4.9,7.4,4.9,6.1,11.0,1.6,2.1,3.3,3.4,4.3,31.6,.522,.524,.000,.667,.544,.522,F,FR,cleveland-melvin-1
123,Daniel Ortiz,31.6,25.8,30,2021-22,North Alabama,30,16,11.4,29.1,7.0,16.0,4.5,13.0,4.3,5.5,1.0,5.9,6.9,2.9,2.4,0.5,3.1,2.5,31.6,.393,.434,.343,.787,.499,.470,G,FR,daniel-ortiz-1
124,Desmar Jackson,31.6,20.7,31,2009-10,Wyoming,31,12,11.6,22.8,10.8,19.1,0.8,3.7,7.7,11.1,2.4,3.7,6.1,5.0,3.8,0.9,7.4,7.5,31.6,.508,.566,.209,.690,.563,.525,G,FR,desmar-jackson-1
125,Jaylen Franklin,31.6,29.4,30,2015-16,Abilene Christian,30,23,11.4,22.3,10.9,20.5,0.5,1.8,8.2,13.4,1.5,6.0,7.5,5.3,3.4,0.3,5.5,5.5,31.6,.513,.533,.286,.612,.551,.525,G,FR,jaylen-franklin-1
126,Michael Cooper,31.6,27.6,17,2025-26,Wright State,17,14,11.6,25.2,8.2,15.3,3.5,9.9,4.8,6.1,1.2,5.6,6.8,5.1,1.9,0.5,2.5,3.6,31.6,.461,.532,.350,.796,.561,.529,G,FR,michael-cooper-4
127,Kendall Anthony,31.6,25.5,32,2011-12,Richmond,32,1,10.0,23.9,4.9,11.5,5.2,12.4,6.4,8.0,1.1,2.1,3.3,4.0,1.6,0.0,3.9,4.6,31.6,.419,.421,.417,.800,.570,.527,G,FR,kendall-anthony-1
128,Jordan Dykstra,31.5,20.7,31,2010-11,South Dakota State,31,17,11.2,20.0,8.2,14.1,3.1,5.9,6.0,8.4,4.1,10.1,14.2,3.6,2.1,1.6,3.6,6.2,31.5,.561,.580,.515,.713,.656,.637,F,FR,jordan-dykstra-1
129,Luka Garza,31.5,21.7,33,2017-18,Iowa,33,26,11.5,20.7,10.2,17.0,1.3,3.6,7.3,10.6,6.2,10.4,16.6,2.8,0.9,2.5,2.8,6.3,31.5,.557,.602,.348,.681,.613,.588,F,FR,luka-garza-1
130,Four McGlynn,31.4,24.2,36,2011-12,Vermont,36,1,9.7,25.1,4.8,12.1,4.9,13.0,7.0,7.8,0.9,3.6,4.4,3.1,1.7,0.1,3.9,4.0,31.4,.388,.398,.380,.889,.545,.487,G,FR,four-mcglynn-1
131,Tariq Francis,31.3,27.5,27,2023-24,NJIT,27,11,10.9,28.0,6.4,15.1,4.6,13.0,4.9,6.3,2.4,6.2,8.6,5.6,3.1,0.2,4.2,5.2,31.3,.389,.422,.352,.788,.505,.471,G,FR,tariq-francis-1
132,Nigel James Jr.,31.3,27.8,22,2025-26,Marquette,22,19,11.5,24.0,8.7,17.2,2.8,6.8,5.6,8.1,1.3,4.8,6.1,9.6,3.4,0.6,5.0,4.3,31.3,.477,.505,.405,.693,.562,.535,G,FR,nigel-james-jr-1
133,James Blackmon,31.3,30.0,33,2014-15,Indiana,33,33,10.7,25.4,6.0,13.4,4.7,12.0,5.3,6.5,3.2,7.4,10.6,3.0,1.3,0.1,3.2,3.1,31.3,.420,.450,.387,.806,.548,.512,G,FR,james-blackmon-1
134,Cameron Tyson,31.3,25.4,32,2018-19,Idaho,32,31,10.3,24.6,2.6,6.7,7.7,17.9,3.0,3.5,0.9,3.6,4.5,1.7,1.1,0.2,3.4,4.1,31.3,.419,.391,.429,.875,.597,.575,G,FR,cameron-tyson-1
135,Tobias Harris,31.3,29.2,34,2010-11,Tennessee,34,33,11.1,24.1,9.7,19.6,1.4,4.6,7.7,10.2,4.0,10.8,14.8,2.6,1.4,1.7,3.7,4.2,31.3,.460,.497,.303,.753,.540,.489,F,FR,tobias-harris-1
136,Preston Parks,31.3,27.1,31,2016-17,The Citadel,31,9,10.6,26.2,6.2,12.8,4.4,13.5,5.5,6.7,1.7,3.7,5.4,6.7,3.5,0.3,4.5,3.6,31.3,.406,.486,.329,.828,.531,.490,G,FR,preston-parks-1
137,Adrian Wooley,31.2,33.5,33,2024-25,Kennesaw State,33,32,10.5,20.5,6.8,11.8,3.7,8.7,6.6,8.5,2.2,6.6,8.7,6.0,2.4,0.2,5.5,4.5,31.2,.512,.579,.422,.769,.636,.602,G,FR,adrian-wooley-1
138,Jared Brownridge,31.2,33.5,33,2013-14,Santa Clara,33,33,10.1,22.2,4.8,10.2,5.2,12.0,5.8,6.8,0.6,4.1,4.7,4.2,1.3,0.2,2.6,3.5,31.2,.454,.476,.436,.862,.614,.572,G,FR,jared-brownridge-1
139,Isaiah Collier,31.2,30.0,27,2023-24,Southern California,27,26,10.9,22.3,9.0,16.6,1.9,5.7,7.5,11.1,1.2,4.3,5.5,8.2,2.8,0.4,6.3,4.5,31.2,.490,.543,.338,.673,.567,.533,G,FR,isaiah-collier-2
140,Kellan Grady,31.2,35.2,33,2017-18,Davidson,33,32,11.5,23.0,7.7,12.7,3.8,10.3,4.3,5.4,1.2,4.5,5.7,3.4,1.4,0.2,1.7,3.6,31.2,.501,.606,.372,.804,.611,.585,G,FR,kellan-grady-1
141,Amadou Sow,31.2,23.7,32,2018-19,UC Santa Barbara,32,31,12.0,21.2,11.9,20.8,0.1,0.4,7.2,10.1,6.1,10.6,16.8,1.0,1.4,1.9,4.9,8.0,31.2,.564,.571,.200,.709,.599,.566,F,FR,amadou-sow-1
142,Cade Cunningham,31.2,35.4,27,2020-21,Oklahoma State,27,26,10.0,22.9,6.5,14.0,3.6,8.9,7.6,8.9,1.1,8.5,9.6,5.4,2.5,1.2,6.2,3.8,31.2,.438,.461,.400,.846,.574,.515,G,FR,cade-cunningham-1
143,Dimencio Vaughn,31.1,27.7,29,2017-18,Rider,29,22,10.9,21.5,9.1,16.4,1.8,5.1,7.5,9.8,4.9,7.9,12.8,2.1,3.5,1.4,4.6,5.5,31.1,.508,.557,.351,.764,.595,.550,G,FR,dimencio-vaughn-1
144,Andrew Rohde,31.1,32.9,31,2022-23,St. Thomas,31,31,11.1,24.7,7.8,14.5,3.3,10.3,5.7,7.0,1.5,5.3,6.8,6.6,3.0,0.2,4.0,3.9,31.1,.448,.538,.320,.815,.555,.514,G,FR,andrew-rohde-1
145,Jaylen Brown,31.1,27.6,34,2015-16,California,34,34,10.2,23.6,8.3,17.2,1.9,6.4,8.9,13.5,2.2,9.1,11.4,4.2,1.7,1.4,6.6,6.7,31.1,.431,.482,.294,.654,.518,.471,F,FR,jaylen-brown-1
146,Drew Lowder,31.1,26.3,12,2019-20,Holy Cross,12,6,11.9,27.4,6.6,14.7,5.3,12.7,1.8,2.6,0.6,4.0,4.6,7.2,1.8,0.0,6.4,4.6,31.1,.436,.450,.420,.714,.543,.534,G,FR,drew-lowder-1
147,Miles Bridges,31.0,32.0,28,2016-17,Michigan State,28,27,11.6,23.9,7.9,14.4,3.7,9.4,4.1,6.0,2.7,12.5,15.2,3.8,1.2,2.8,4.3,3.4,31.0,.486,.550,.389,.685,.580,.563,F,FR,miles-bridges-1
148,Damiyne Durham,31.0,22.1,32,2015-16,Cal State Bakersfield,32,0,10.9,28.8,3.6,8.1,7.4,20.7,1.7,2.8,1.5,7.2,8.7,1.9,2.7,0.3,2.5,2.7,31.0,.379,.439,.356,.618,.514,.507,G,FR,damiyne-durham-1
149,Julius Thedford,31.0,21.9,18,2024-25,Western Kentucky,18,6,9.9,23.1,5.7,11.7,4.2,11.4,7.1,11.3,1.4,8.2,9.6,2.2,1.5,0.8,3.1,4.9,31.0,.428,.488,.366,.630,.545,.518,G,FR,julius-thedford-1
150,Asa Newell,31.0,29.0,33,2024-25,Georgia,33,33,11.6,21.4,10.0,16.0,1.6,5.4,6.1,8.2,6.7,7.1,13.8,1.8,2.0,1.9,2.3,4.9,31.0,.543,.627,.292,.748,.612,.580,F,FR,asa-newell-1
151,Landers Nolley II,31.0,30.2,32,2019-20,Virginia Tech,32,29,10.7,28.9,6.4,15.4,4.3,13.4,5.3,6.8,1.6,10.1,11.6,4.8,1.5,0.6,5.4,3.9,31.0,.370,.417,.316,.780,.482,.444,G,FR,landers-nolleyii-1
152,Derik Queen,30.9,30.4,36,2024-25,Maryland,36,36,10.9,20.8,10.6,18.9,0.4,1.8,8.7,11.3,4.4,12.4,16.8,3.5,2.0,2.0,4.4,4.0,30.9,.526,.558,.200,.766,.591,.535,C,FR,derik-queen-1
153,Ali Abdou Dibba,30.9,26.0,5,2021-22,Chicago State,5,2,9.7,18.9,7.4,12.0,2.3,6.9,9.2,11.1,2.3,4.6,6.9,0.5,2.8,0.5,6.5,3.7,30.9,.512,.615,.333,.833,.639,.573,G,FR,aliabdou-dibba-1
154,Sam Sessoms,30.9,34.3,33,2018-19,Binghamton,33,32,11.8,26.3,8.1,16.2,3.7,10.0,3.7,5.6,1.3,4.5,5.7,6.0,1.9,0.1,7.5,3.7,30.9,.448,.498,.366,.660,.534,.518,G,FR,sam-sessoms-1
155,Bryce Aiken,30.9,27.8,26,2016-17,Harvard,26,9,9.6,24.2,4.7,10.4,4.8,13.8,6.9,7.8,0.9,3.8,4.7,6.1,1.7,0.0,5.2,5.1,30.9,.395,.457,.349,.884,.553,.495,G,FR,bryce-aiken-1
156,Hannes Steinbach,30.8,32.7,18,2025-26,Washington,18,18,11.2,21.3,10.2,18.2,1.0,3.1,7.4,9.8,7.6,12.4,20.0,3.0,1.9,1.9,3.3,3.9,30.8,.528,.562,.323,.758,.595,.551,F,FR,hannes-steinbach-1
157,Eric Paschall,30.8,31.2,27,2014-15,Fordham,27,27,10.7,25.6,7.5,15.4,3.2,10.2,6.1,7.7,3.2,7.4,10.6,1.9,1.5,0.9,5.4,3.8,30.8,.419,.488,.315,.794,.526,.482,F,FR,eric-paschall-1
158,Rashawn Thomas,30.8,21.9,25,2013-14,Texas A&M–Corpus Christi,25,0,12.5,20.9,12.1,19.7,0.3,1.3,5.5,10.0,4.6,10.2,14.8,1.4,1.8,3.8,5.6,7.6,30.8,.596,.616,.273,.552,.600,.604,F,FR,rashawn-thomas-1
159,Markeith Cummings,30.7,34.0,33,2009-10,Kennesaw State,33,31,10.9,23.9,9.1,18.7,1.8,5.2,7.2,10.0,4.2,6.5,10.7,3.7,1.7,0.3,5.1,4.3,30.7,.455,.489,.337,.717,.536,.492,F,FR,markeith-cummings-1
160,Meleek Thomas,30.7,27.2,21,2025-26,Arkansas,21,5,10.7,25.4,5.8,13.0,4.9,12.4,4.4,5.3,1.9,5.3,7.2,5.7,3.0,0.2,2.0,3.8,30.7,.420,.444,.395,.836,.550,.517,G,FR,meleek-thomas-1
161,Jordan Watford,30.6,20.3,22,2025-26,Queens (NC),22,8,10.0,17.5,9.1,15.3,0.9,2.2,9.7,12.1,2.4,4.6,7.0,10.8,1.3,0.5,4.6,8.2,30.6,.572,.595,.412,.802,.659,.598,G,FR,jordan-watford-1
162,Paolo Banchero,30.6,33.0,39,2021-22,Duke,39,39,11.2,23.4,9.2,17.5,2.0,5.9,6.2,8.6,3.1,10.8,13.9,5.7,1.9,1.6,4.2,3.4,30.6,.478,.525,.338,.729,.557,.520,F,FR,paolo-banchero-1
163,Ignas Brazdeikis,30.6,29.6,37,2018-19,Michigan,37,37,10.5,22.7,7.4,14.7,3.1,8.0,6.5,8.4,2.4,8.8,11.2,1.7,1.5,1.0,2.6,4.4,30.6,.462,.500,.392,.773,.573,.531,F,FR,ignas-brazdeikis-1
164,Karl-Anthony Towns,30.6,21.1,39,2014-15,Kentucky,39,39,11.1,19.5,10.9,18.9,0.2,0.6,8.3,10.2,7.0,12.9,19.9,3.4,1.4,6.7,4.0,8.8,30.6,.566,.577,.250,.813,.627,.570,F,FR,karl-anthony-towns-1
165,Malik Mack,30.6,33.2,24,2023-24,Harvard,24,24,9.9,24.2,6.6,14.4,3.3,9.8,7.4,9.1,0.9,6.3,7.2,8.6,2.4,0.1,4.5,3.0,30.6,.410,.456,.341,.813,.536,.479,G,FR,malik-mack-1
166,All Wright,30.5,29.6,34,2024-25,Valparaiso,34,31,10.6,25.9,6.7,15.7,3.9,10.2,5.5,6.8,0.9,3.4,4.3,4.7,1.7,0.4,2.7,3.9,30.5,.408,.424,.383,.805,.524,.483,G,FR,all-wright-1
167,Donnie Freeman,30.5,25.5,14,2024-25,Syracuse,14,13,11.1,22.0,9.1,16.1,2.0,5.9,6.4,8.0,2.4,15.7,18.1,3.1,0.8,0.8,4.1,3.9,30.5,.504,.566,.333,.796,.591,.548,F,FR,donnie-freeman-1
168,Dwayne Bacon,30.5,28.8,34,2015-16,Florida State,34,32,11.2,25.1,9.4,18.6,1.8,6.5,6.3,8.8,2.6,8.6,11.2,2.8,1.9,0.1,4.2,4.2,30.5,.447,.505,.281,.714,.521,.483,G,FR,dwayne-bacon-1
169,Charles Williams,30.5,30.0,34,2016-17,Howard,34,25,10.3,25.9,6.5,14.9,3.8,11.1,6.1,8.1,2.0,3.1,5.1,1.1,1.1,0.7,3.3,4.2,30.5,.396,.436,.342,.759,.512,.469,G,FR,charles-williams-5
170,Vasean Allette,30.4,32.2,19,2023-24,Old Dominion,19,18,12.1,26.9,9.6,19.6,2.6,7.3,3.6,5.9,1.7,8.3,10.0,5.4,3.2,0.0,4.0,4.0,30.4,.452,.488,.354,.609,.513,.500,G,FR,vasean-allette-1
171,Jayden Gardner,30.4,30.6,31,2018-19,East Carolina,31,31,10.0,20.3,9.9,19.7,0.1,0.6,10.3,13.7,5.6,10.2,15.8,2.4,1.4,0.8,4.5,5.3,30.4,.493,.502,.200,.750,.567,.496,F,FR,jayden-gardner-1
172,Devin Cannady,30.4,22.0,29,2015-16,Princeton,29,0,9.0,18.6,3.9,7.3,5.1,11.3,7.2,8.1,1.7,4.8,6.5,3.3,2.8,0.5,3.0,5.1,30.4,.485,.531,.456,.889,.677,.624,G,FR,devin-cannady-1
173,AJ Green,30.4,29.9,34,2018-19,Northern Iowa,34,34,11.0,26.8,6.8,14.6,4.2,12.2,4.2,4.8,0.8,5.4,6.2,4.6,1.3,0.1,5.6,4.1,30.4,.410,.461,.348,.864,.522,.489,G,FR,aj-green-1
174,Jalen Johnson,30.4,21.4,13,2020-21,Duke,13,8,11.9,22.7,10.2,18.9,1.7,3.7,5.0,7.9,4.2,12.3,16.4,6.0,3.1,3.3,6.9,6.0,30.4,.523,.538,.444,.632,.575,.560,F,FR,jalen-johnson-24
175,De'Aaron Fox,30.4,29.6,36,2016-17,Kentucky,36,34,10.8,22.6,10.0,19.1,0.9,3.5,7.9,10.7,1.1,6.2,7.2,8.3,2.7,0.4,4.4,4.6,30.4,.479,.521,.246,.736,.549,.498,G,FR,deaaron-fox-1
176,QJ Peterson,30.4,32.9,35,2013-14,VMI,35,35,10.0,25.1,6.4,14.0,3.6,11.2,6.9,9.1,2.9,6.1,9.0,3.3,2.7,0.5,3.5,3.7,30.4,.397,.459,.320,.758,.516,.468,G,FR,qj-peterson-1
177,Thomas Bryant,30.4,22.6,35,2015-16,Indiana,35,35,11.5,16.8,11.1,15.7,0.4,1.1,7.0,10.0,5.1,9.7,14.8,2.5,1.2,2.3,4.2,7.2,30.4,.683,.707,.333,.706,.704,.693,C,FR,thomas-bryant-1
178,Airious Bailey,30.4,33.3,30,2024-25,Rutgers,30,30,11.7,25.4,9.0,17.6,2.7,7.8,4.3,6.2,3.6,8.8,12.4,2.2,1.7,2.2,3.5,4.8,30.4,.460,.511,.346,.692,.536,.514,G,FR,airious-bailey-1
179,Jon Severe,30.4,32.9,31,2013-14,Fordham,31,23,9.2,27.9,4.8,14.8,4.5,13.1,7.4,9.3,1.8,3.2,4.9,3.6,1.6,0.3,4.6,3.9,30.4,.331,.321,.342,.794,.469,.411,G,FR,jon-severe-1
180,Andrew Wiggins,30.3,32.8,35,2013-14,Kansas,35,35,9.6,21.4,7.4,15.0,2.2,6.4,8.9,11.5,3.9,6.6,10.4,2.7,2.1,1.7,4.1,4.8,30.3,.448,.493,.341,.775,.563,.499,G,FR,andrew-wiggins-1
181,Terquavion Smith,30.3,31.6,32,2021-22,NC State,32,25,10.6,26.6,5.0,11.5,5.6,15.2,3.5,5.0,1.7,5.9,7.7,3.9,2.4,0.9,3.1,4.0,30.3,.398,.437,.369,.698,.522,.503,G,FR,terquavion-smith-1
182,David Jenkins Jr.,30.3,29.5,35,2017-18,South Dakota State,35,21,9.8,22.7,5.3,10.9,4.5,11.8,6.2,7.7,0.5,5.5,6.1,3.1,0.7,0.0,3.2,3.6,30.3,.432,.485,.382,.799,.574,.531,G,FR,david-jenkinsjr-1
183,Stefan Moody,30.3,31.3,29,2012-13,Florida Atlantic,29,20,10.0,23.9,6.6,14.1,3.5,9.8,6.7,8.2,1.3,6.8,8.0,4.3,1.4,0.6,6.1,3.9,30.3,.421,.467,.354,.815,.544,.493,G,FR,stefan-moody-1
184,Onyeka Okongwu,30.2,30.6,28,2019-20,Southern California,28,28,11.7,18.9,11.6,18.7,0.1,0.3,6.9,9.5,6.1,10.0,16.1,2.0,2.3,5.1,3.7,5.0,30.2,.616,.621,.250,.720,.645,.618,F,FR,onyeka-okongwu-1
185,Stan Okoye,30.2,21.9,29,2009-10,VMI,29,10,11.7,22.5,10.3,17.7,1.4,4.9,5.4,9.3,5.4,8.8,14.1,1.0,1.7,3.2,3.5,6.2,30.2,.520,.583,.288,.587,.562,.551,F,FR,stan-okoye-1
186,Kenneth Lofton Jr.,30.2,22.8,32,2020-21,Louisiana Tech,32,28,11.5,20.3,11.5,20.3,0.0,0.0,7.2,12.1,6.2,12.5,18.7,3.7,2.6,1.8,6.1,6.2,30.2,.567,.567,,.596,.580,.567,F,FR,kenneth-loftonjr-1
187,Allonzo Trier,30.2,28.0,27,2015-16,Arizona,27,21,9.2,19.8,6.2,11.5,3.0,8.3,8.7,11.0,0.9,5.8,6.7,2.3,1.1,0.5,3.9,3.9,30.2,.466,.539,.364,.793,.603,.542,G,FR,allonzo-trier-1
188,Jimmal Ball,30.2,35.0,26,1996-97,Akron,26,26,10.9,28.8,6.9,17.7,4.0,11.1,4.3,6.3,,,8.3,6.1,3.9,0.6,4.3,3.8,30.2,.380,.392,.360,.685,.475,.449,G,FR,jimmal-ball-1
189,Tim Kempton,30.2,26.4,32,2013-14,Lehigh,32,31,11.5,22.4,11.5,22.4,0.0,0.0,7.2,10.6,5.4,11.0,16.4,1.7,1.6,0.8,6.5,7.5,30.2,.515,.515,,.678,.551,.515,C,FR,tim-kempton-2
190,Josh Okogie,30.2,30.8,37,2016-17,Georgia Tech,37,37,9.8,21.7,8.4,18.0,1.4,3.7,9.1,12.2,2.8,7.4,10.2,3.1,2.4,1.4,3.9,4.8,30.2,.453,.468,.384,.747,.549,.486,G,FR,josh-okogie-1
191,Jordan Ellerbee,30.1,25.3,22,2025-26,Florida Gulf Coast,22,12,10.5,21.3,6.8,11.8,3.7,9.5,5.4,6.8,2.6,5.0,7.6,4.4,2.0,0.1,3.8,5.8,30.1,.495,.583,.387,.791,.615,.582,G,FR,jordan-ellerbee-1
192,Trevon Lewis,30.1,24.4,28,2011-12,Nicholls State,28,13,11.2,22.3,10.0,19.2,1.2,3.1,6.6,10.5,3.7,8.6,12.3,2.4,2.3,1.7,4.8,7.1,30.1,.500,.520,.378,.634,.552,.527,F,FR,trevon-lewis-1
193,Cole Anthony,30.1,34.9,22,2019-20,North Carolina,22,20,9.7,25.5,6.1,15.1,3.6,10.4,7.1,9.5,0.7,8.5,9.3,6.5,2.1,0.4,5.7,4.7,30.1,.380,.402,.348,.750,.501,.451,G,FR,cole-anthony-1
194,Ben Simmons,30.1,34.9,33,2015-16,Louisiana State,33,32,10.3,18.4,10.2,18.3,0.0,0.1,9.5,14.2,4.9,13.6,18.5,7.5,3.1,1.3,5.3,4.4,30.1,.560,.561,.333,.670,.600,.561,F,FR,ben-simmons-1
195,Cameron Payne,30.1,32.7,34,2013-14,Murray State,34,34,10.0,24.7,6.2,13.6,3.8,11.1,6.3,8.2,0.5,5.9,6.5,9.7,3.0,1.1,5.8,5.1,30.1,.404,.456,.341,.774,.526,.481,G,FR,cameron-payne-1
196,Matas Deniusas,30.1,25.1,21,2025-26,UT Martin,21,21,9.7,22.7,6.8,14.3,2.9,8.4,7.8,10.4,4.5,7.8,12.3,3.6,1.3,2.4,5.1,5.5,30.1,.427,.477,.342,.755,.545,.490,F,FR,matas-deniusas-1
197,Karon Abraham,30.1,26.8,35,2009-10,Robert Morris,35,24,8.4,19.5,3.0,7.4,5.4,12.1,7.9,9.3,1.4,3.4,4.8,3.3,1.5,0.3,4.0,5.0,30.1,.430,.410,.443,.851,.629,.568,G,FR,karon-abraham-1
198,Mahamadou Diawara,30.1,26.0,33,2019-20,Stetson,33,31,11.7,19.9,11.6,19.1,0.1,0.9,6.5,10.7,7.2,8.2,15.4,1.6,1.3,1.3,7.2,7.6,30.1,.589,.608,.167,.601,.601,.593,F,FR,mahamadou-diawara-1
199,Terrence Jones,30.1,31.5,38,2010-11,Kentucky,38,35,10.4,23.6,9.1,19.6,1.3,4.0,7.9,12.3,4.7,12.3,17.0,3.0,2.2,3.6,3.8,4.6,30.1,.442,.465,.329,.646,.512,.470,F,FR,terrence-jones-1
