Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/100 Poss.,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
23,Kevin Obanor,37.1,22.4,28,2018-19,Oral Roberts,28,11,12.3,21.0,9.9,15.2,2.4,5.8,10.2,12.3,6.6,12.0,18.6,1.2,0.4,0.8,4.1,6.4,37.1,.583,.648,.413,.827,.690,.640,F,FR,kevin-obanor-1
24,DeMarcus Cousins,36.8,23.5,38,2009-10,Kentucky,38,37,13.2,23.6,13.1,23.2,0.1,0.4,10.4,17.2,9.9,14.1,23.9,2.4,2.4,4.3,5.0,7.8,36.8,.558,.565,.167,.604,.579,.560,F,FR,demarcus-cousins-1
25,Thijs De Ridder,36.7,27.8,20,2025-26,Virginia,20,20,13.0,24.6,10.7,18.1,2.4,6.5,8.3,11.8,5.4,8.4,13.8,3.4,1.5,0.9,4.4,6.4,36.7,.531,.589,.367,.700,.608,.579,F,FR,thijs-de-ridder-1
26,Caleb Wilson,36.6,31.2,20,2025-26,North Carolina,20,20,13.2,22.4,12.7,20.6,0.5,1.8,9.8,14.1,5.7,12.8,18.5,5.2,2.9,2.6,3.7,3.8,36.6,.588,.619,.250,.693,.629,.599,F,FR,caleb-wilson-1
27,Mister Dean,36.5,23.3,31,2024-25,USC Upstate,31,27,14.6,25.5,13.8,22.2,0.8,3.4,6.5,11.4,3.4,9.2,12.6,3.1,5.0,1.6,5.3,6.7,36.5,.572,.622,.244,.572,.591,.588,G,FR,mister-dean-1
28,Collin Sexton,36.5,29.9,33,2017-18,Alabama,33,32,11.3,25.3,8.8,17.7,2.5,7.6,11.3,14.5,2.0,5.2,7.2,6.9,1.6,0.2,5.3,4.7,36.5,.447,.495,.336,.778,.567,.498,G,FR,collin-sexton-1
29,Kyrie Irving,36.1,27.5,11,2010-11,Duke,11,8,10.3,19.6,7.0,12.2,3.4,7.3,12.0,13.4,1.1,5.8,7.0,8.8,3.0,1.1,5.1,4.3,36.1,.529,.569,.462,.901,.697,.615,G,FR,kyrie-irving-1
30,Madden Collins,36.1,21.5,22,2025-26,American,22,0,14.0,28.0,12.0,19.0,2.0,9.0,6.1,8.6,4.3,9.6,13.9,5.2,3.7,1.1,4.3,6.7,36.1,.500,.632,.219,.714,.563,.535,G,FR,madden-collins-1
31,Alex Wilkins,36.0,29.6,22,2025-26,Furman,22,22,13.0,28.6,9.4,16.5,3.6,12.2,6.4,7.6,0.5,3.6,4.2,10.3,1.5,0.3,7.5,5.3,36.0,.454,.569,.299,.833,.558,.517,G,FR,alex-wilkins-1
32,Josh Hubbard,35.9,27.7,35,2023-24,Mississippi State,35,16,11.0,28.7,4.6,10.4,6.5,18.2,7.3,8.6,0.5,4.0,4.6,3.7,1.4,0.2,2.5,2.9,35.9,.385,.437,.355,.853,.548,.498,G,FR,josh-hubbard-1
33,Marcus Evans,35.8,33.5,32,2015-16,Rice,32,32,11.6,24.7,8.9,15.9,2.7,8.9,9.8,12.3,1.5,5.2,6.7,4.7,3.7,0.3,5.2,4.8,35.8,.470,.563,.306,.796,.585,.525,G,FR,marcus-evans-2
34,Markelle Fultz,35.7,35.7,25,2016-17,Washington,25,25,12.9,27.1,9.7,19.3,3.2,7.8,6.7,10.4,2.0,6.8,8.8,9.1,2.5,1.8,4.9,3.9,35.7,.476,.502,.413,.649,.558,.535,G,FR,markelle-fultz-1
35,Rob Dillingham,35.3,23.3,32,2023-24,Kentucky,32,1,12.5,26.3,7.8,15.8,4.6,10.5,5.7,7.1,0.6,6.2,6.8,9.0,2.4,0.1,4.6,6.1,35.3,.475,.495,.444,.796,.595,.564,G,FR,rob-dillingham-1
36,Marvin Bagley III,35.3,33.9,33,2017-18,Duke,33,32,13.7,22.3,12.5,19.4,1.2,2.9,6.7,10.6,6.7,11.9,18.6,2.5,1.4,1.5,3.8,3.0,35.3,.614,.647,.397,.627,.643,.640,F,FR,marvin-bagleyiii-1
37,PJ Haggerty,35.2,33.7,31,2023-24,Tulsa,31,31,10.7,21.7,9.5,17.6,1.2,4.1,12.7,16.6,1.7,7.3,9.1,6.4,3.2,0.1,4.3,2.8,35.2,.493,.540,.289,.767,.596,.520,G,FR,pj-haggerty-1
38,Jake Cohen,35.1,22.7,31,2009-10,Davidson,31,23,12.8,27.5,10.4,19.9,2.4,7.6,7.0,9.9,4.1,9.4,13.5,2.2,1.2,3.1,5.6,7.5,35.1,.466,.526,.311,.709,.544,.509,F,FR,jake-cohen-1
39,Caleb Mills,35.1,22.5,31,2019-20,Houston,31,7,12.3,31.8,8.0,20.1,4.3,11.7,6.3,8.3,1.0,6.0,7.0,3.0,1.4,0.4,3.7,5.0,35.1,.385,.397,.365,.753,.490,.453,G,FR,caleb-mills-1
40,R.J. Barrett,35.0,35.3,38,2018-19,Duke,38,38,13.0,28.6,10.0,18.9,3.0,9.7,6.1,9.1,2.4,9.3,11.7,6.7,1.4,0.7,5.0,2.9,35.0,.454,.529,.308,.665,.532,.506,F,FR,rj-barrett-1
41,Alex Petrie,35.0,24.9,31,2017-18,Lafayette,31,21,11.7,26.9,6.6,14.3,5.1,12.6,6.5,7.1,0.7,5.0,5.6,1.7,1.1,0.0,4.4,1.7,35.0,.436,.463,.405,.905,.578,.531,G,FR,alex-petrie-1
42,R.J. Cole,35.0,37.9,33,2017-18,Howard,33,32,10.8,27.4,5.9,13.8,4.9,13.6,8.6,11.1,1.2,4.6,5.8,9.0,2.6,0.0,5.7,3.9,35.0,.394,.429,.359,.770,.536,.483,G,FR,rj-cole-1
43,Deandre Ayton,35.0,33.5,35,2017-18,Arizona,35,35,13.7,22.4,13.1,20.7,0.6,1.7,7.0,9.5,5.9,14.3,20.1,2.8,1.0,3.3,3.4,4.0,35.0,.612,.635,.343,.733,.650,.625,F,FR,deandre-ayton-1
44,Ace Glass lll,34.9,27.7,23,2025-26,Washington State,23,15,11.8,24.5,7.1,12.3,4.7,12.3,6.5,7.5,1.0,5.9,6.9,4.6,1.6,0.3,5.5,3.8,34.9,.481,.578,.385,.867,.621,.578,G,FR,ace-glass-lll-1
45,Jahlil Okafor,34.9,30.1,38,2014-15,Duke,38,38,14.8,22.3,14.8,22.3,0.0,0.0,5.3,10.3,7.1,10.0,17.1,2.6,1.5,2.9,5.0,4.3,34.9,.664,.664,,.510,.641,.664,C,FR,jahlil-okafor-1
46,Anthony Lamb,34.7,22.5,35,2016-17,Vermont,35,35,13.3,26.0,11.3,21.1,2.0,4.9,6.1,8.2,5.3,9.6,14.9,1.9,2.1,3.3,5.4,7.6,34.7,.512,.535,.413,.745,.582,.551,F,FR,anthony-lamb-2
47,B.J. Young,34.5,25.2,32,2011-12,Arkansas,32,7,12.5,24.8,9.0,16.2,3.5,8.5,5.9,8.0,2.0,4.9,7.0,5.2,2.6,0.6,5.2,4.5,34.5,.504,.552,.413,.743,.603,.575,G,FR,bj-young-1
48,Anthony Bennett,34.4,27.1,35,2012-13,UNLV,35,31,12.3,23.1,10.1,17.3,2.2,5.9,7.6,10.8,5.3,12.2,17.4,2.1,1.5,2.6,4.0,4.9,34.4,.533,.587,.375,.701,.609,.580,F,FR,anthony-bennett-1
49,D'Angelo Russell,34.4,33.9,35,2014-15,Ohio State,35,34,11.8,26.3,6.9,14.5,4.8,11.8,6.0,8.0,1.8,8.3,10.1,8.9,2.8,0.6,5.2,3.8,34.4,.449,.479,.411,.756,.573,.541,G,FR,dangelo-russell-1
50,Dylan Harper,34.4,32.6,29,2024-25,Rutgers,29,28,11.8,24.4,8.8,15.3,3.0,9.1,7.7,10.2,1.3,6.8,8.1,7.1,2.6,1.0,4.3,3.4,34.4,.484,.574,.333,.750,.587,.546,G,FR,dylan-harper-1
51,Roman Domon,34.3,21.1,22,2025-26,Murray State,22,0,9.7,18.1,6.4,10.0,3.3,8.0,11.7,14.5,2.8,9.4,12.3,3.4,2.5,0.5,4.5,3.9,34.3,.536,.635,.412,.805,.688,.627,F,FR,roman-domon-1
52,Kingston Flemings,34.3,31.2,20,2025-26,Houston,20,20,12.7,24.3,10.1,17.8,2.6,6.6,6.2,7.5,0.9,5.8,6.7,10.6,3.7,0.7,3.7,3.7,34.3,.524,.569,.403,.829,.616,.579,G,FR,kingston-flemings-1
53,C.J. McCollum,34.3,31.9,33,2009-10,Lehigh,33,31,11.0,24.0,7.1,14.7,3.9,9.3,8.3,10.3,2.5,6.5,9.0,4.3,2.3,0.4,3.6,2.6,34.3,.459,.483,.421,.810,.593,.541,G,FR,cj-mccollum-1
54,Jalen Haralson,34.2,26.6,20,2025-26,Notre Dame,20,18,12.7,25.8,12.1,23.3,0.6,2.5,8.3,13.3,3.2,5.1,8.3,5.8,1.0,0.7,5.9,5.1,34.2,.491,.520,.227,.624,.533,.502,G,FR,jalen-haralson-1
55,Myles Taylor,34.0,24.4,28,2011-12,UT Martin,28,27,11.3,23.1,11.1,21.7,0.3,1.4,11.1,14.8,5.2,7.7,12.9,1.9,1.8,1.9,4.2,7.7,34.0,.490,.510,.188,.749,.564,.496,F,FR,myles-taylor-1
56,Rashad Vaughn,33.9,32.3,23,2014-15,UNLV,23,23,11.9,27.1,7.4,15.5,4.5,11.7,5.6,8.1,1.2,8.0,9.2,3.0,1.5,0.7,4.1,4.5,33.9,.439,.481,.383,.694,.547,.521,G,FR,rashad-vaughn-1
57,Ryan Forrest,33.9,20.1,10,2023-24,Northwestern State,10,7,12.1,31.3,9.8,21.2,2.3,10.1,7.5,12.1,1.4,4.6,6.0,2.3,2.0,1.1,5.7,4.3,33.9,.385,.459,.229,.619,.458,.422,G,FR,ryan-forrest-1
58,Markus Howard,33.9,22.0,31,2016-17,Marquette,31,27,11.2,22.2,4.5,9.8,6.8,12.4,4.6,5.2,0.7,5.0,5.7,5.8,2.1,0.2,5.2,6.5,33.9,.506,.454,.547,.889,.686,.658,G,FR,markus-howard-1
59,Matt Morgan,33.9,30.7,27,2015-16,Cornell,27,26,10.6,25.5,5.9,11.3,4.6,14.2,8.1,10.0,0.7,4.9,5.6,3.5,2.5,0.7,3.5,3.1,33.9,.414,.524,.327,.808,.560,.505,G,FR,matt-morgan-1
60,Darius Garland,33.8,27.8,5,2018-19,Vanderbilt,5,5,12.1,22.6,7.5,13.0,4.6,9.6,5.0,6.7,0.8,7.1,7.9,5.4,1.7,0.8,6.3,2.9,33.8,.537,.581,.478,.750,.657,.639,G,FR,darius-garland-1
61,Jared Sullinger,33.8,31.7,37,2010-11,Ohio State,37,36,11.8,21.8,11.7,21.2,0.2,0.6,10.0,14.2,7.0,13.1,20.1,2.3,2.0,1.1,3.1,4.8,33.8,.541,.550,.250,.704,.591,.545,F,FR,jared-sullinger-1
62,Tre Johnson,33.6,34.7,33,2024-25,Texas,33,33,11.4,26.8,6.9,15.4,4.5,11.4,6.2,7.1,0.6,4.7,5.3,4.6,1.6,0.5,3.1,3.5,33.6,.427,.449,.397,.871,.557,.511,G,FR,tre-johnson-2
63,Isaiah Johnson,33.5,28.2,21,2025-26,Colorado,21,4,9.6,18.8,6.4,11.0,3.3,7.8,11.0,13.2,2.1,3.3,5.4,4.7,2.1,0.0,2.0,2.9,33.5,.513,.579,.420,.832,.669,.600,G,FR,isaiah-johnson-3
64,Jamal Murray,33.4,35.2,36,2015-16,Kentucky,36,36,11.3,25.0,6.1,12.1,5.2,12.9,5.5,7.1,2.5,6.2,8.6,3.7,1.6,0.5,3.9,3.5,33.4,.454,.502,.408,.783,.590,.559,G,FR,jamal-murray-1
65,Shabazz Muhammad,33.3,30.8,32,2012-13,UCLA,32,30,11.8,26.6,9.4,20.4,2.3,6.2,7.5,10.5,5.1,4.7,9.7,1.6,1.3,0.2,3.0,3.1,33.3,.443,.463,.377,.711,.528,.487,G,FR,shabazz-muhammad-1
66,Darius Acuff Jr.,33.3,33.3,21,2025-26,Arkansas,21,21,11.9,24.0,8.2,14.9,3.8,9.1,5.7,7.3,0.7,4.1,4.8,10.5,1.4,0.8,3.4,2.6,33.3,.497,.547,.414,.785,.607,.575,G,FR,darius-acuff-jr-1
67,Malik Monk,33.3,32.1,38,2016-17,Kentucky,38,37,11.1,24.7,6.5,13.1,4.6,11.6,6.5,8.0,0.5,3.7,4.2,3.8,1.6,0.8,3.3,3.2,33.3,.450,.497,.397,.822,.586,.543,G,FR,malik-monk-1
68,Tyler Hall,33.2,32.0,31,2015-16,Montana State,31,31,11.6,25.4,6.1,12.6,5.5,12.8,4.5,5.2,1.5,7.9,9.4,2.9,1.6,0.5,3.2,3.9,33.2,.457,.484,.430,.867,.596,.566,G,FR,tyler-hall-2
69,Sharife Cooper,33.2,33.1,12,2020-21,Auburn,12,12,9.9,25.2,8.1,17.4,1.8,7.8,11.7,14.1,1.1,5.9,7.0,13.3,1.6,0.4,6.9,4.4,33.2,.391,.465,.228,.825,.519,.427,G,FR,sharife-cooper-1
70,Tre Mitchell,33.2,30.8,31,2019-20,Massachusetts,31,31,12.5,25.9,10.2,19.1,2.2,6.8,6.0,8.2,2.7,10.7,13.4,3.5,1.9,1.9,6.1,5.6,33.2,.481,.535,.330,.728,.556,.525,C,FR,tre-mitchell-1
71,Sam Finley,33.1,22.3,30,2013-14,UC Riverside,30,8,10.1,25.1,7.7,16.6,2.4,8.4,10.5,13.4,0.7,4.9,5.6,2.0,1.6,0.5,4.3,3.9,33.1,.403,.463,.284,.788,.527,.451,G,FR,sam-finley-1
72,Nate Calmese,33.1,31.5,31,2022-23,Lamar,31,31,12.3,25.5,8.6,15.5,3.7,10.0,4.8,6.4,1.3,3.4,4.8,3.7,2.2,0.5,4.5,2.6,33.1,.481,.555,.367,.755,.579,.553,G,FR,nate-calmese-1
73,Jabari Smith,33.0,28.8,34,2021-22,Auburn,34,34,10.5,24.5,6.0,13.7,4.5,10.8,7.5,9.4,1.8,12.6,14.5,3.9,2.1,2.0,3.6,4.0,33.0,.429,.435,.420,.799,.570,.521,F,FR,jabari-smith-2
