player,rookie_season,minutes,pts,poss,pts_per_100,position
J.R. Smith,2005,1863.5216666666668,782,927.84,84.28177271943439,Guard
Jameer Nelson,2005,1614.9766666666667,689,792.08,86.98616301383699,Guard
Tony Allen,2005,1254.4733333333334,492,530.88,92.67631103074142,Guard-Forward
Beno Udrih,2005,1155.2,471,506.16,93.05357989568516,Guard
David Harrison,2005,759.9083333333333,264,277.03999999999996,95.2930984695351,Center
Anderson Varejão,2005,868.7616666666667,266,274.88,96.76949941792782,Forward
Jackson Vroman,2005,706.105,212,296.0,71.62162162162163,Forward-Center
Royal Ivey,2005,813.5316666666666,220,285.48,77.06319181729017,Guard
Chris Duhon,2005,2171.7633333333333,487,636.48,76.51458019105078,Guard
Trevor Ariza,2005,1380.631666666667,468,538.56,86.89839572192514,Forward
Andrew Bogut,2006,2348.13,768,816.36,94.076142878142,Center
Marvin Williams,2006,1952.2616666666668,672,725.32,92.64876192577069,Forward
Deron Williams,2006,2306.633333333333,864,1009.4,85.59540320982762,Guard
Chris Paul,2006,2808.475,1258,1334.6,94.26045257005845,Guard
Raymond Felton,2006,2405.708333333333,948,1162.68,81.53576220456188,Guard
Charlie Villanueva,2006,2361.0066666666667,1053,1109.4,94.9161709031909,Forward
Channing Frye,2006,1572.355,802,837.76,95.731474407945,Forward-Center
Ike Diogu,2006,1031.4083333333333,486,485.92,100.01646361540995,Forward
Sean May,2006,398.4316666666667,189,232.16,81.40937284631289,Center-Forward
Rashad McCants,2006,1362.243333333333,627,667.64,93.91288718471033,Guard
Antoine Wright,2006,370.1666666666667,70,111.68,62.67908309455587,Forward-Guard
Joey Graham,2006,1580.6016666666667,533,564.52,94.41649542974562,Forward
Danny Granger,2006,1765.335,587,623.12,94.20336371806394,Forward-Guard
Nate Robinson,2006,1543.6516666666666,670,767.88,87.25321664843464,Guard
Jarrett Jack,2006,1598.8116666666667,526,600.4,87.60826115922718,Guard
Francisco García,2006,1301.22,377,444.44,84.82584825848258,Guard-Forward
Luther Head,2006,2309.971666666667,707,803.12,88.03167646179898,Guard
Salim Stoudamire,2006,1236.0583333333334,589,622.4,94.63367609254499,Guard
Daniel Ewing,2006,971.1533333333332,252,332.24,75.84878401155791,Guard
Ryan Gomes,2006,1376.235,461,475.56,96.93834637059467,Forward
Andrea Bargnani,2007,1629.45,751,794.48,94.5272379417984,Center-Forward
LaMarcus Aldridge,2007,1391.756666666667,565,572.6,98.67272092210968,Center-Forward
