player,rookie_season,minutes,pts,poss,pts_per_100,position
Mo Bamba,2019,766.1933333333334,292,313.72,93.0766288410047,Center
Wendell Carter Jr.,2019,1109.8,455,485.28,93.76030333003628,Center-Forward
Collin Sexton,2019,2605.023333333333,1371,1503.2,91.205428419372,Guard
Mikal Bridges,2019,2417.115,684,684.92,99.8656777433861,Guard-Forward
Shai Gilgeous-Alexander,2019,2173.9066666666668,889,942.8,94.29359355112432,Guard
Miles Bridges,2019,1696.3333333333333,597,594.88,100.35637439483594,Forward
Jerome Robinson,2019,320.52,112,126.96,88.21676118462508,Guard
Kevin Huerter,2019,2048.53,727,790.64,91.95082464838612,Guard-Forward
Josh Okogie,2019,1757.17,570,642.28,88.74634115961886,Guard
Grayson Allen,2019,416.29333333333335,211,237.4,88.87952822240943,Guard
Chandler Hutchison,2019,894.615,229,250.72,91.33694958519465,Forward-Guard
Moritz Wagner,2019,446.18,207,233.32,88.71935539173667,Forward-Center
Landry Shamet,2019,1801.8933333333332,722,642.92,112.30013065389163,Guard
Omari Spellman,2019,804.5416666666666,272,294.8,92.26594301221166,Forward
Elie Okobo,2019,958.19,304,379.68,80.06742520016856,Forward-Guard
Jevon Carter,2019,576.5016666666667,172,232.08,74.11237504308859,Guard
Jalen Brunson,2019,1591.2583333333334,678,705.8,96.0612071408331,Guard
Mitchell Robinson,2019,1359.5083333333334,485,385.4,125.84327970939285,Center-Forward
Rodions Kurucs,2019,1293.75,534,566.48,94.26634656122016,Forward
Bruce Brown,2019,1449.3166666666666,319,386.4,82.55693581780538,Guard-Forward
Justin Jackson,2019,1613.25,583,548.76,106.23952183103725,Forward
Hamidou Diallo,2019,526.28,190,213.96,88.80164516732098,Guard
De'Anthony Melton,2019,983.89,250,343.32,72.81836187813118,Guard
Svi Mykhailiuk,2019,440.13,133,169.8,78.32744405182567,Guard-Forward
Keita Bates-Diop,2019,503.37666666666667,151,168.32,89.71007604562737,Forward
Ja Morant,2020,2074.3233333333333,1193,1292.52,92.30031256769722,Guard
RJ Barrett,2020,1704.4216666666666,803,962.76,83.40604096555735,Forward-Guard
De'Andre Hunter,2020,2017.935,778,849.36,91.59837995667326,Forward-Guard
Darius Garland,2020,1823.9683333333328,728,881.68,82.56963977860448,Guard
Jarrett Culver,2020,1505.6066666666666,580,701.48,82.68232879055711,Guard-Forward
Coby White,2020,1674.0,859,957.76,89.6884396926161,Guard
Jaxson Hayes,2020,1079.715,472,395.6,119.31243680485338,Center-Forward
Rui Hachimura,2020,1444.0316666666668,649,659.6,98.39296543359612,Forward
Cam Reddish,2020,1550.745,610,705.44,86.47085506917668,Forward-Guard
P.J. Washington,2020,1758.9916666666666,710,741.84,95.7079693734498,Forward
Tyler Herro,2020,1508.08,743,762.0,97.50656167979002,Guard
Sekou Doumbouya,2020,753.7266666666667,243,291.24,83.4363411619283,Forward
Nickeil Alexander-Walker,2020,590.8033333333333,267,336.28,79.39812061377424,Guard
Goga Bitadze,2020,471.2916666666667,172,192.52,89.34136713068771,Center-Forward
Matisse Thybulle,2020,1287.4316666666666,305,334.04,91.30643036762064,Guard-Forward
Brandon Clarke,2020,1300.02,700,583.28,120.0109724317652,Forward
Grant Williams,2020,1043.2233333333334,237,284.76,83.22798145806996,Forward
Ty Jerome,2020,327.59,102,138.04000000000002,73.89162561576353,Guard-Forward
Nassir Little,2020,572.485,172,185.36,92.7924039706517,Forward-Guard
Jordan Poole,2020,1273.89,503,628.36,80.0496530651219,Guard
Kevin Porter Jr.,2020,1161.72,498,558.44,89.17699305207363,Guard-Forward
Cody Martin,2020,902.695,238,279.6,85.12160228898426,Forward
Daniel Gafford,2020,609.0533333333333,220,189.4,116.15628299894404,Forward-Center
Eric Paschall,2020,1653.795,837,827.28,101.17493472584857,Forward
Terance Mann,2020,362.12,99,108.88,90.92578986039678,Guard-Forward
Anthony Edwards,2021,2314.1666666666665,1392,1490.68,93.3802023237717,Guard
LaMelo Ball,2021,1468.5733333333333,803,889.6,90.26528776978417,Guard
Patrick Williams,2021,1983.3566666666663,655,681.0,96.1820851688693,Forward
Isaac Okoro,2021,2173.235,646,714.08,90.4660542236164,Forward-Guard
Onyeka Okongwu,2021,601.2083333333334,228,203.08,112.27102619657278,Forward-Center
Obi Toppin,2021,683.08,253,243.44,103.92704567860665,Forward
Tyrese Haliburton,2021,1745.6766666666667,753,735.64,102.35984992659453,Guard
Kira Lewis Jr.,2021,904.4433333333334,343,393.44,87.17974786498577,Guard
Aaron Nesmith,2021,668.7316666666667,218,213.32,102.19388711794487,Guard-Forward
Isaiah Stewart,2021,1454.8283333333334,537,516.48,103.97304832713755,Forward-Center
Aleksej Pokusevski,2021,1089.915,367,525.48,69.84090736088909,Forward
Josh Green,2021,444.63166666666666,101,120.12,84.08258408258408,Guard
Saddiq Bey,2021,1909.0166666666669,857,815.6800000000001,105.06571204393879,Guard-Forward
Zeke Nnaji,2021,397.2783333333333,136,117.6,115.64625850340137,Forward-Center
Payton Pritchard,2021,1267.5583333333334,510,490.8,103.91198044009779,Guard
Jaden McDaniels,2021,1510.7833333333333,427,433.8,98.43245735361917,Forward
Malachi Flynn,2021,927.545,353,407.64,86.59601609263076,Guard
Desmond Bane,2021,1518.965,625,579.56,107.84043067154394,Guard
Théo Maledon,2021,1777.7016666666666,658,814.4,80.79567779960708,Guard
Saben Lee,2021,780.595,267,304.15999999999997,87.78274592319832,Guard
Isaiah Joe,2021,382.8233333333333,153,154.56,98.99068322981367,Guard
Cade Cunningham,2022,2088.055,1114,1338.92,83.20138619185612,Guard
Jalen Green,2022,2137.7233333333334,1157,1192.84,96.99540592200128,Guard
Evan Mobley,2022,2331.036666666667,1034,1073.88,96.28636346705403,Center
Scottie Barnes,2022,2617.2883333333334,1134,1162.6,97.53999655943575,Forward-Guard
Jalen Suggs,2022,1306.6533333333334,564,762.72,73.94587791063562,Guard
Josh Giddey,2022,1700.3516666666667,674,875.76,76.96172467342652,Guard
Franz Wagner,2022,2429.0466666666666,1197,1190.36,100.55781444268962,Forward
Davion Mitchell,2022,2075.825,861,994.4,86.58487530168946,Guard
Ziaire Williams,2022,1346.4666666666667,501,489.2,102.41210139002453,Forward
James Bouknight,2022,304.4766666666667,142,169.64,83.70667295449188,Guard
Chris Duarte,2022,1540.8266666666666,720,760.28,94.70195191245331,Guard
Moses Moody,2022,607.12,228,211.84,107.62839879154079,Guard
Corey Kispert,2022,1801.0583333333334,634,591.28,107.22500338249222,Forward
Alperen Şengün,2022,1489.2933333333333,692,772.08,89.62801782198736,Center
Tre Mann,2022,1366.925,625,695.08,89.91770731426598,Guard
Keon Johnson,2022,696.2466666666667,267,340.44,78.42791681353542,Guard
Isaiah Jackson,2022,541.045,297,284.72,104.31300927226748,Forward
Josh Christopher,2022,1333.7416666666666,587,663.72,88.440908816971,Guard
Bones Hyland,2022,1309.8583333333331,698,712.0,98.03370786516854,Guard
Cam Thomas,2022,1176.06,570,604.2,94.33962264150942,Guard
Day'Ron Sharpe,2022,390.67,198,197.04,100.48721071863581,Center
Jeremiah Robinson-Earl,2022,1087.1083333333331,366,386.76,94.63233012721068,Forward
Herbert Jones,2022,2335.1833333333334,742,747.72,99.23500775691434,Forward
Miles McBride,2022,372.2116666666666,89,118.28,75.24518092661481,Guard
Ayo Dosunmu,2022,2109.641666666667,679,677.32,100.24803637866886,Guard
Isaiah Livers,2022,383.25666666666666,121,111.16,108.85210507376755,Forward
Kessler Edwards,2022,987.195,284,317.36,89.48827829594151,Forward
Sandro Mamukelashvili,2022,407.00166666666667,154,139.68,110.25200458190149,Forward-Center
Aaron Wiggins,2022,1208.75,416,428.4,97.10550887021476,Guard
Jericho Sims,2022,555.0433333333333,90,86.76,103.7344398340249,Center
Paolo Banchero,2023,2429.7233333333334,1437,1556.96,92.29524201007091,Forward
Jabari Smith Jr.,2023,2450.5466666666666,1010,1086.6399999999999,92.94706618567328,Forward
Keegan Murray,2023,2381.673333333333,976,877.64,111.20732874527141,Forward
Jaden Ivey,2023,2304.3166666666666,1204,1376.64,87.45932124593212,Guard
Bennedict Mathurin,2023,2222.38,1302,1302.76,99.94166231692714,Guard-Forward
Shaedon Sharpe,2023,1778.6033333333332,789,777.2,101.51827071538857,Guard
Jeremy Sochan,2023,1457.7,614,700.04,87.70927375578539,Forward
Johnny Davis,2023,422.575,163,199.88,81.54892935761457,Guard
Ousmane Dieng,2023,568.71,193,217.12,88.8909358879882,Forward
Jalen Williams,2023,2275.5916666666667,1056,1001.04,105.49029009829778,Guard-Forward
Jalen Duren,2023,1670.145,612,559.0799999999999,109.46555054732777,Center
Mark Williams,2023,827.975,387,333.68,115.97938144329896,Center
AJ Griffin,2023,1401.435,639,595.68,107.2723609991942,Forward
Tari Eason,2023,1767.22,760,824.8,92.1435499515034,Forward
Jake LaRavia,2023,414.2866666666667,105,116.96,89.77428180574556,Forward
Malaki Branham,2023,1549.5966666666666,673,717.8,93.75870716076902,Forward
Walker Kessler,2023,1703.2066666666667,679,541.96,125.28599896671341,Center
David Roddy,2023,1258.5016666666668,466,505.6,92.16772151898734,Forward
MarJon Beauchamp,2023,701.3816666666667,266,304.28,87.41948205600106,Forward
Blake Wesley,2023,669.055,184,299.36,61.46445750935328,Guard
Andrew Nembhard,2023,2073.5316666666668,709,797.28,88.92735300020068,Guard-Forward
Caleb Houstan,2023,812.19,193,207.92,92.82416313966911,Guard
Jaylin Williams,2023,914.1583333333332,288,294.76,97.70660876645407,Forward
Max Christie,2023,512.425,128,126.04,101.55506188511583,Guard
Jaden Hardy,2023,708.39,420,413.76,101.50812064965197,Guard
Bryce McGowens,2023,786.9966666666667,246,280.2,87.79443254817987,Guard
Victor Wembanyama,2024,2106.235,1522,1607.48,94.68235996715356,Forward-Center
Brandon Miller,2024,2382.963333333333,1279,1291.12,99.06128012888036,Forward
Scoot Henderson,2024,1765.3933333333334,868,1098.76,78.99814336160763,Guard
Amen Thompson,2024,1388.5316666666668,592,604.2,97.9808010592519,Guard-Forward
Ausar Thompson,2024,1582.805,556,616.36,90.20702187033551,Guard-Forward
Bilal Coulibaly,2024,1715.25,532,576.64,92.25860155382908,Guard
Jarace Walker,2024,340.42333333333335,120,130.95999999999998,91.63103237629812,Forward
Cason Wallace,2024,1691.9216666666666,561,503.28,111.4687649022413,Guard
Dereck Lively II,2024,1294.2816666666668,483,381.64,126.55906089508437,Center
Keyonte George,2024,2022.5766666666664,974,1101.12,88.45539087474572,Guard
Jaime Jaquez Jr.,2024,2113.195,889,884.0,100.56561085972851,Guard
Brandin Podziemski,2024,1968.253333333333,682,719.76,94.75380682449706,Guard
Cam Whitmore,2024,880.3333333333334,579,562.28,102.97360745536032,Forward
Noah Clowney,2024,369.85833333333335,133,121.2,109.73597359735973,Forward-Center
Kris Murray,2024,1348.2716666666668,376,445.64,84.37303653172965,Forward
Olivier-Maxence Prosper,2024,336.21166666666664,121,130.04,93.04829283297447,Forward
Marcus Sasser,2024,1351.11,586,631.04,92.86257606490872,Guard
Ben Sheppard,2024,814.26,252,255.44,98.65330410272472,Guard
Julian Phillips,2024,322.55,89,95.36,93.33053691275168,Forward
Andre Jackson Jr.,2024,572.3283333333334,125,132.84,94.09816320385426,Guard
Rayan Rupert,2024,633.225,155,203.0,76.35467980295566,Guard-Forward
Toumani Camara,2024,1739.32,527,565.56,93.18197892354482,Forward
Trayce Jackson-Davis,2024,1130.4516666666666,540,439.08,122.98442197321673,Forward
Zaccharie Risacher,2025,1843.3866666666668,942,936.56,100.58084906466217,Forward
Alex Sarr,2025,1814.2283333333328,869,1014.6,85.6495170510546,Center
Reed Sheppard,2025,654.3516666666667,229,283.03999999999996,80.90729225551159,Guard
Stephon Castle,2025,2162.0216666666665,1190,1316.3600000000001,90.4008022121608,Guard
Tidjane Salaün,2025,1244.3533333333332,353,444.36,79.44009361778738,Forward
Donovan Clingan,2025,1323.6433333333334,436,451.76,96.51142199397911,Center
Zach Edey,2025,1415.765,610,576.88,105.74122867840799,Center
Matas Buzelis,2025,1511.295,688,676.52,101.69691952935612,Forward
Bub Carrington,2025,2457.79,807,926.4,87.11139896373057,Guard
Kel'el Ware,2025,1422.486666666667,595,550.48,108.08748728382503,Center
Jared McCain,2025,591.7916666666666,352,335.64,104.87427005124539,Guard
Dalton Knecht,2025,1493.795,706,630.96,111.89298846202611,Forward
Tristan Da Silva,2025,1628.611666666667,533,566.72,94.04997176736306,Forward
Ja'Kobe Walter,2025,1103.235,449,479.52,93.6353019686353,Guard
Jaylon Tyson,2025,452.96,167,185.56,89.99784436300926,Guard-Forward
Yves Missi,2025,1955.79,665,663.76,100.18681451126913,Center
Kyshawn George,2025,1802.1833333333332,590,683.92,86.26739969587086,Forward
Ryan Dunn,2025,1410.4166666666667,511,534.1600000000001,95.66422045828963,Forward
Isaiah Collier,2025,1839.1066666666663,615,830.76,74.02860031778131,Guard
Baylor Scheierman,2025,383.8883333333333,113,127.28,88.7806411062225,Guard
Kyle Filipowski,2025,1521.54,690,682.92,101.03672465296083,Center
Ajay Mitchell,2025,596.955,234,228.4,102.45183887915937,Guard
Jaylen Wells,2025,2043.4816666666663,823,804.4,102.31228244654402,Forward
Oso Ighodaro,2025,1045.545,255,248.0,102.8225806451613,Forward
Adem Bona,2025,904.55,337,297.0,113.46801346801347,Forward
Pelle Larsson,2025,781.9466666666667,251,253.84,98.8811849984242,Guard
Jamal Shead,2025,1466.825,533,651.36,81.82878899533284,Guard
Quinten Post,2025,685.7566666666667,340,318.88,106.6231811339689,Center
