Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
24,DeMarcus Cousins,36.8,23.5,38,2009-10,Kentucky,38,37,6.5,118,84,3.8,2.7,.290,,,,34.2,19.8,24.8,22.5,9.2,2.4,7.5,13.6,30.5,F,FR,demarcus-cousins-1
25,Mister Dean,36.5,23.3,31,2024-25,USC Upstate,31,27,2.5,108,104,1.5,1.1,.141,2.0,0.9,2.8,26.9,7.1,19.2,13.1,13.9,5.0,3.2,14.7,32.1,G,FR,mister-dean-1
26,Collin Sexton,36.5,29.9,33,2017-18,Alabama,33,32,4.4,113,105,3.2,1.2,.177,5.8,1.1,6.9,23.5,4.1,9.8,7.0,27.8,1.6,0.3,14.2,32.9,G,FR,collin-sexton-1
27,Caleb Wilson,36.4,31.1,18,2025-26,North Carolina,18,18,3.9,128,93,2.3,1.6,.277,8.4,5.0,13.4,31.3,12.3,23.9,18.5,18.1,3.0,4.6,11.5,28.4,F,FR,caleb-wilson-1
28,Kyrie Irving,36.1,27.5,11,2010-11,Duke,11,8,2.4,135,93,1.8,0.6,.320,9.8,5.0,14.8,32.5,2.3,10.6,6.7,29.8,3.0,1.8,16.4,26.4,G,FR,kyrie-irving-1
29,Josh Hubbard,35.9,27.7,35,2023-24,Mississippi State,35,16,4.2,119,107,3.1,1.1,.174,6.7,0.8,7.5,19.7,1.1,7.8,4.4,13.6,1.4,0.5,7.1,29.9,G,FR,josh-hubbard-1
30,Marcus Evans,35.8,33.5,32,2015-16,Rice,32,32,3.8,111,111,3.1,0.7,.140,3.1,-1.0,2.1,24.5,3.1,10.8,7.0,20.0,3.7,0.6,14.6,31.8,G,FR,marcus-evans-2
31,Markelle Fultz,35.7,35.7,25,2016-17,Washington,25,25,3.9,116,111,3.3,0.6,.173,7.7,1.7,9.4,28.0,4.0,13.9,8.9,35.5,2.5,3.1,13.4,31.4,G,FR,markelle-fultz-1
32,Madden Collins,35.4,20.4,18,2025-26,American,18,0,1.6,111,99,0.8,0.8,.170,2.2,0.1,2.2,24.6,8.7,19.9,14.1,19.1,4.2,1.9,10.2,32.3,G,FR,madden-collins-1
33,Ace Glass lll,35.4,26.0,19,2025-26,Washington State,19,11,1.6,114,114,1.1,0.4,.129,4.0,-0.6,3.4,19.5,1.7,13.3,7.6,17.3,1.5,0.7,16.3,30.2,G,FR,ace-glass-lll-1
34,Rob Dillingham,35.3,23.3,32,2023-24,Kentucky,32,1,3.3,118,110,2.6,0.7,.174,5.6,0.7,6.2,23.5,1.2,11.8,6.8,29.7,2.4,0.3,13.5,30.3,G,FR,rob-dillingham-1
35,Marvin Bagley III,35.3,33.9,33,2017-18,Duke,33,32,6.9,128,97,4.8,2.1,.248,8.8,2.0,10.8,30.6,13.8,21.5,17.9,8.8,1.4,2.6,12.2,26.3,F,FR,marvin-bagleyiii-1
