player,rookie_season,minutes,poss_est,player_id,usg_pct,pts_per_100
Chris Duarte,2022,1540.8266666666666,760.28,1630537,18.1,22.5
Chris Duhon,2005,2171.7633333333333,636.48,2768,14.9,11.5
Chris Kaman,2004,1850.2966666666664,652.48,2549,18.5,14.1
Chris Paul,2006,2808.475,1334.6,101108,22.3,23.3
Chris Singleton,2012,1430.7383333333332,369.36,202698,15.4,10.9
CJ McCollum,2014,475.74,227.96,203468,19.8,20.6
Coby White,2020,1674.0,957.76,1629632,21.899999999999988,24.0
Cody Martin,2020,902.695,279.6,1628998,12.3,12.8
Cody Zeller,2014,1416.6816666666666,579.0,203469,15.3,17.1
Collin Sexton,2019,2605.023333333333,1503.2,1629012,26.4,25.6
Corey Brewer,2008,1802.585,623.4,201147,15.9,13.0
Corey Kispert,2022,1801.0583333333334,591.28,1630557,13.900000000000002,17.1
Courtney Alexander,2001,1373.9116666666666,714.0,2042,20.1,22.5
Courtney Lee,2009,1938.745,650.36,201584,17.4,16.9
Craig Smith,2007,1536.565,618.84,200783,20.200000000000003,20.4
D'Angelo Russell,2016,2259.08,1235.6,1626156,26.4,23.1
Daequan Cook,2008,1440.675,602.08,201161,17.9,18.8
Dajuan Wagner,2003,1384.9083333333333,760.4,2402,23.0,22.7
Dalton Knecht,2025,1493.795,630.96,1642261,18.5,23.0
Damian Lillard,2013,3166.87,1672.24,203081,24.4,25.4
Dan Gadzuric,2003,759.3583333333333,196.64,2429,15.6,11.3
Daniel Ewing,2006,971.1533333333332,332.24,101137,15.2,13.3
Daniel Gafford,2020,609.0533333333333,189.4,1629655,16.1,17.0
Danny Granger,2006,1765.335,623.12,101122,17.8,17.2
Dante Exum,2015,1817.05,548.0799999999999,203957,,11.4
Darius Garland,2020,1823.9683333333328,881.68,1629636,24.5,19.0
Darius Miles,2001,2139.1633333333334,881.72,2032,18.3,18.4
Darius Miller,2013,694.0,134.51999999999998,203121,12.5,9.0
Darrell Arthur,2009,1464.1783333333333,509.4,201589,16.8,15.0
Darren Collison,2010,2109.1316666666667,1067.56,201954,21.2,22.7
Darrun Hilliard,2016,383.01666666666665,167.6,1626199,19.1,19.5
David Harrison,2005,759.9083333333333,277.04,2758,19.8,18.8
David Roddy,2023,1258.5016666666668,505.6,1631223,17.7,17.3
David West,2004,929.0383333333332,311.2,2561,19.1,15.3
Davion Mitchell,2022,2075.825,994.4,1630558,14.000000000000002,19.8
Day'Ron Sharpe,2022,390.67,197.04,1630549,17.29999999999999,24.4
De'Aaron Fox,2018,2025.53,1055.8,1628368,23.8,20.4
De'Andre Hunter,2020,2017.935,849.36,1629631,19.399999999999988,17.8
De'Anthony Melton,2019,983.89,343.32,1629001,18.5,11.9
Deandre Ayton,2019,2182.688333333333,1079.16,1629028,23.1,25.2
DeAndre Jordan,2009,771.3916666666667,235.96,201599,14.499999999999998,15.2
DeAndre' Bembry,2017,370.74,121.04,1627761,17.9,13.6
DeJuan Blair,2010,1494.3166666666666,677.84,201971,19.3,21.5
DeMar DeRozan,2010,1663.6416666666669,659.36,201942,23.0,20.2
DeMarcus Cousins,2011,2309.4266666666667,1448.88,202326,28.6,24.7
Dennis Smith Jr.,2018,2049.105,1302.92,1628372,24.2,25.0
Dereck Lively II,2024,1294.2816666666668,381.64,1641726,13.2,17.7
DerMarr Johnson,2001,1309.915,521.28,2035,17.599999999999998,15.2
Deron Williams,2006,2306.633333333333,1009.4,101114,22.1,19.9
Derrick Brown,2010,535.4066666666666,197.68,201974,14.8,17.7
Derrick Favors,2011,1535.7216666666666,569.12,202324,20.0,18.2
Derrick Rose,2009,3000.048333333333,1520.0,201565,26.8,23.0
Derrick Williams,2012,1417.685,660.8,202682,23.39999999999999,20.6
Desmond Bane,2021,1518.965,579.56,1630217,22.6,19.4
Desmond Mason,2001,1523.5283333333334,532.04,2046,18.5,15.6
Devin Booker,2016,2107.665,1139.64,1626164,28.000000000000004,23.9
Devin Harris,2005,1176.67,493.32,2734,21.1,18.2
Dillon Brooks,2018,2349.8316666666665,969.04,1628415,20.7,19.1
Dion Waiters,2013,1756.305,1029.72,203079,26.4,26.1
D.J. Augustin,2009,1907.9333333333327,842.52,201571,17.2,23.8
Domantas Sabonis,2017,1631.4883333333332,593.48,1627734,21.4,14.4
Donovan Clingan,2025,1323.6433333333334,451.76,1642270,14.2,15.6
Donovan Mitchell,2018,2638.11,1707.68,1628378,30.9,30.1
Doron Lamb,2013,577.7783333333333,203.96,203117,13.1,13.3
Drew Gooden,2003,1875.57,1020.28,2400,22.399999999999988,23.7
Dwayne Bacon,2018,712.9983333333333,226.0,1628407,16.69999999999999,11.6
Dwight Howard,2005,2678.443333333333,1023.72,2730,21.1,18.2
Dwyane Wade,2004,2135.85,1131.28,2548,30.2,24.5
Earl Clark,2010,383.39,189.84,201947,19.399999999999988,17.6
Ed Davis,2011,1601.753333333333,477.32,202334,13.3,16.0
Eddie Griffin,2002,1895.4766666666667,750.84,2204,19.3,18.0
Eddie House,2001,544.805,297.4,2067,23.3,24.2
Ekpe Udoh,2011,1029.513333333333,298.16,202327,13.900000000000002,11.5
Elfrid Payton,2015,2488.6666666666665,1005.16,203901,19.8,14.8
Elie Okobo,2019,958.19,379.68,1629059,14.7,15.1
Emeka Okafor,2005,2599.63,1278.92,2731,21.6,21.7
