,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Nikola Jokić,28,7,7,280,.596,.543,9.0,23.9,16.5,39.3,2.1,2.7,12.3,33.4,119,111,26.2,jokicni01
2,Jamal Murray,26,7,7,263,.480,.453,2.3,10.7,6.3,20.9,1.8,0.4,12.4,27.9,95,116,10.7,murraja01
3,Aaron Gordon,28,7,7,244,.724,.708,8.4,10.4,9.2,21.0,1.5,2.5,11.2,15.7,142,116,15.2,gordoaa01
4,Michael Porter Jr.,25,7,7,246,.495,.464,1.7,17.4,9.5,4.8,1.1,3.1,14.7,17.3,88,114,6.2,portemi01
5,Kentavious Caldwell-Pope,30,7,7,240,.586,.535,1.1,10.9,6.1,12.0,1.6,1.5,7.8,10.2,121,115,7.5,caldwke01
6,Christian Braun,22,7,0,139,.570,.531,2.3,15.7,9.1,7.5,0.8,2.8,2.6,13.1,118,115,5.2,braunch01
7,Justin Holiday,34,7,0,114,.598,.600,0.0,17.3,8.6,4.2,0.9,0.0,10.1,12.4,99,117,2.7,holidju01
8,Reggie Jackson,33,7,0,66,.466,.444,3.4,15.3,9.5,11.9,0.8,1.6,17.7,24.5,81,118,1.7,jacksre01
9,Julian Strawther,21,3,0,16,.451,.417,0.0,15.2,7.1,0.0,3.3,0.0,11.4,25.8,77,115,0.7,strawju01
10,Zeke Nnaji,23,3,0,14,.644,.667,16.7,0.0,8.5,0.0,0.0,6.7,34.0,19.6,87,119,1.0,nnajize01
11,Jalen Pickett,24,3,0,11,.667,.667,0.0,10.1,4.3,26.0,0.0,9.7,0.0,12.7,129,118,1.3,pickeja02
12,Hunter Tyson,23,3,0,14,.102,.000,10.0,16.0,11.6,8.2,0.0,0.0,17.0,20.1,47,122,-0.4,tysonhu01
13,Peyton Watson,21,5,0,30,.057,.000,3.2,43.6,22.3,6.1,0.0,7.3,0.0,13.7,23,111,0.0,watsope01
14,DeAndre Jordan,35,1,0,4,.000,.000,17.7,0.0,10.3,0.0,0.0,0.0,0.0,10.4,45,134,-0.4,jordade01
,Team Totals,27.3,7,,1680,.551,.517,21.1,77.2,48.3,62.9,7.1,10.3,12.4,,108.1,113.8,,-9999
