Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Nikola Jokić,40:06,.643,.632,.368,.053,2.7,31.2,17.3,53.0,1.2,0.0,20.5,25.3,113,101,10.4,jokicni01
Jamal Murray,39:28,.517,.318,.364,.727,0.0,13.2,6.8,28.9,0.0,0.0,6.4,32.7,112,107,1.3,murraja01
Christian Braun,35:40,.551,.500,.300,.200,3.1,20.5,12.0,4.1,0.0,0.0,0.0,12.7,117,106,-0.2,braunch01
Cameron Johnson,33:04,.500,.500,.583,.000,0.0,0.0,0.0,4.7,0.0,0.0,7.7,16.3,90,110,-4.2,johnsca02
Aaron Gordon,29:15,.629,.550,.500,.800,14.9,14.3,14.6,16.5,0.0,0.0,6.9,20.6,134,107,5.1,gordoaa01
Tim Hardaway Jr.,24:13,.509,.417,.500,.333,0.0,12.9,6.6,5.8,1.9,3.7,22.5,15.2,82,100,-1.5,hardati02
Bruce Brown,21:05,.538,.500,.286,.143,10.3,24.7,17.7,21.9,11.1,0.0,11.8,16.6,115,80,16.1,brownbr01
Spencer Jones,9:15,1.078,1.500,1.000,3.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,198,110,9.8,jonessp01
Jonas Valančiūnas,7:54,,,,,0.0,39.6,20.3,0.0,0.0,0.0,100.0,5.3,0,101,-15.5,valanjo01
