"Player","Regular_Rk","Regular_PTS/G","Regular_From","Regular_To","Regular_Age","Regular_G","Regular_GS","Regular_AS","Regular_MP","Regular_FG","Regular_FGA","Regular_2P","Regular_2PA","Regular_3P","Regular_3PA","Regular_FT","Regular_FTA","Regular_ORB","Regular_DRB","Regular_TRB","Regular_AST","Regular_STL","Regular_BLK","Regular_TOV","Regular_PF","Regular_PTS","Regular_FG%","Regular_2P%","Regular_3P%","Regular_FT%","Regular_TS%","Regular_eFG%","Regular_Pos","Regular_Team","Regular_Player-additional","Postseason_Rk","Postseason_PTS/G","Postseason_G","Postseason_From","Postseason_To","Postseason_Age","Postseason_G_2","Postseason_GS","Postseason_AS","Postseason_MP","Postseason_FG","Postseason_FGA","Postseason_2P","Postseason_2PA","Postseason_3P","Postseason_3PA","Postseason_FT","Postseason_FTA","Postseason_ORB","Postseason_DRB","Postseason_TRB","Postseason_AST","Postseason_STL","Postseason_BLK","Postseason_TOV","Postseason_PF","Postseason_PTS","Postseason_FG%","Postseason_2P%","Postseason_3P%","Postseason_FT%","Postseason_TS%","Postseason_eFG%","Postseason_Pos","Postseason_Player-additional"
"Shai Gilgeous-Alexander","13","25.3","2018-19","2025-26","20-27","530","521","4","17550","4674","9193","3945","7166","729","2027","3334","3857","389","2114","2503","2810","761","422","1223","1183","13411",".508",".551",".360",".864",".616",".548","G","LACOKC","gilgesh01","19","25.8","46","2018-19","2024-25","20-26","46","46","2","1702","411","878","340","675","71","203","293","341","38","210","248","262","64","45","102","130","1186",".468",".504",".350",".859",".577",".509","G","gilgesh01"
"Damian Lillard","14","25.1","2012-13","2024-25","22-34","900","900","9","32614","7266","16568","4462","9012","2804","7556","5262","5853","534","3311","3845","6069","874","267","2541","1708","22598",".439",".495",".371",".899",".590",".523","G","MILPOR","lillada01","25","25.2","68","2013-14","2024-25","23-34","68","68","8","2689","541","1324","319","721","222","603","411","460","46","250","296","414","78","21","203","155","1715",".409",".442",".368",".893",".562",".492","G","lillada01"
"Trae Young","15","25.1","2018-19","2025-26","20-27","498","498","4","17006","3946","9112","2642","5404","1304","3708","3293","3776","303","1414","1717","4868","518","76","2090","874","12489",".433",".489",".352",".872",".580",".505","G","ATLWAS","youngtr01","15","26.4","27","2020-21","2022-23","22-24","27","27","1","1019","232","577","162","341","70","236","179","210","17","75","92","243","33","4","119","59","713",".402",".475",".297",".852",".533",".463","G","youngtr01"
"Donovan Mitchell","16","25.1","2017-18","2025-26","21-29","609","601","7","20585","5398","11915","3556","6880","1842","5035","2634","3122","485","2155","2640","2928","844","193","1645","1463","15272",".453",".517",".366",".844",".575",".530","G","CLEUTA","mitchdo01","7","28.3","63","2017-18","2024-25","21-28","63","63","6","2320","617","1403","418","842","199","561","350","424","51","263","314","303","86","21","190","156","1783",".440",".496",".355",".825",".561",".511","G","mitchdo01"
"Karl Malone","17","25.0","1985-86","2003-04","22-40","1476","1471","14","54852","13528","26210","13443","25900","85","310","9787","13188","3562","11406","14968","5248","2085","1145","4524","4578","36928",".516",".519",".274",".742",".577",".518","F","LALUTA","malonka01","28","24.7","193","1985-86","2003-04","22-40","193","193","14","7907","1743","3768","1737","3731","6","37","1269","1725","502","1560","2062","610","258","135","550","662","4761",".463",".466",".162",".736",".526",".463","F","malonka01"
"Kobe Bryant","18","25.0","1996-97","2015-16","18-37","1346","1198","18","48637","11719","26200","9892","20654","1827","5546","8378","10011","1499","5548","7047","6306","1944","640","4010","3353","33643",".447",".479",".329",".837",".550",".482","G-F","LAL","bryanko01","20","25.6","220","1996-97","2011-12","18-33","220","200","13","8641","2014","4499","1722","3617","292","882","1320","1617","230","889","1119","1040","310","144","647","660","5640",".448",".476",".331",".816",".541",".480","G-F","bryanko01"
"Dominique Wilkins","19","24.8","1982-83","1998-99","23-39","1074","995","9","38113","9963","21589","9252","19358","711","2231","6031","7438","2950","4219","7169","2677","1378","642","2669","2061","26668",".461",".478",".319",".811",".536",".478","F-G","ATLBOSLACORLSAS","wilkido01","22","25.4","56","1982-83","1998-99","23-39","56","47","6","2172","515","1201","488","1105","27","96","366","444","158","217","375","143","73","35","153","123","1423",".429",".442",".281",".824",".510",".440","F-G","wilkido01"
"Stephen Curry","20","24.8","2009-10","2025-26","21-37","1069","1061","12","36304","9022","19155","4774","9082","4248","10073","4236","4645","686","4287","4973","6743","1602","282","3308","2385","26528",".471",".526",".422",".912",".626",".582","G","GSW","curryst01","14","26.8","155","2012-13","2024-25","24-36","155","149","9","5773","1388","3056","738","1419","650","1637","721","811","113","715","828","953","231","50","516","388","4147",".454",".520",".397",".889",".608",".561","G","curryst01"
"Kareem Abdul-Jabbar","21","24.6","1969-70","1988-89","22-41","1560","789","19","57446","15837","28307","15836","28289","1","18","6712","9304","2975","9394","17440","5660","1160","3189","2527","4657","38387",".559",".560",".056",".721",".592",".559","C","LALMIL","abdulka01","31","24.3","237","1969-70","1988-89","22-41","237","90","17","8851","2356","4422","2356","4418","0","4","1050","1419","505","1273","2481","767","189","476","447","797","5762",".533",".533",".000",".740",".571",".533","C","abdulka01"
"Devin Booker","22","24.6","2015-16","2025-26","19-29","737","712","5","25295","6295","13588","4749","9194","1546","4394","3984","4562","472","2494","2966","3908","628","208","2236","2140","18120",".463",".517",".352",".873",".581",".520","G","PHO","bookede01","8","28.0","47","2020-21","2023-24","24-27","47","47","3","1880","464","955","354","672","110","283","277","308","38","200","238","247","49","18","156","156","1315",".486",".527",".389",".899",".603",".543","G","bookede01"
"Anthony Edwards","23","24.6","2020-21","2025-26","19-24","442","423","4","15400","3802","8398","2488","4841","1314","3557","1936","2413","317","2002","2319","1826","587","282","1273","888","10854",".453",".514",".369",".802",".574",".531","G-F","MIN","edwaran01","13","26.9","42","2021-22","2024-25","20-23","42","42","3","1660","396","846","266","501","130","345","208","264","43","236","279","230","57","37","114","104","1130",".468",".531",".377",".788",".587",".545","G-F","edwaran01"
