Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Nikola Jokić,40:06,11,19,.579,2,7,.286,1,1,1.000,1,12,13,11,1,0,5,3,25,22.9,+9,jokicni01
Jamal Murray,39:28,7,22,.318,0,8,.000,16,16,1.000,0,5,5,7,0,0,2,2,30,21.0,+13,murraja01
Christian Braun,35:40,4,10,.400,2,3,.667,2,2,1.000,1,7,8,1,0,0,0,2,12,9.3,0,braunch01
Cameron Johnson,33:04,5,12,.417,2,7,.286,0,0,,0,0,0,1,0,0,1,1,12,4.9,+5,johnsca02
Aaron Gordon,29:15,5,10,.500,1,5,.200,6,8,.750,4,4,8,3,0,0,1,3,17,15.1,+8,gordoaa01
Tim Hardaway Jr.,24:13,2,6,.333,1,3,.333,2,2,1.000,0,3,3,1,1,1,2,1,7,4.5,+9,hardati02
Bruce Brown,21:05,3,7,.429,1,2,.500,1,1,1.000,2,5,7,3,5,0,1,2,8,12.5,+7,brownbr01
Spencer Jones,9:15,1,1,1.000,1,1,1.000,2,3,.667,0,0,0,0,0,0,0,0,5,4.3,+2,jonessp01
Jonas Valančiūnas,7:54,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,3,0,-1.3,+2,valanjo01
