,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Jamal Murray,25,5,5,192,49,104,18,42,20,22,2,26,28,32,5,2,13,12,136,.471,.429,.909,38.4,27.2,5.6,6.4,1.0,0.4,murraja01
2,Nikola Jokić,27,5,5,185,48,99,11,22,24,34,21,41,62,45,6,2,14,21,131,.485,.500,.706,37.0,26.2,12.4,9.0,1.2,0.4,jokicni01
3,Michael Porter Jr.,24,5,5,180,31,63,14,33,6,9,3,38,41,6,5,3,0,13,82,.492,.424,.667,35.9,16.4,8.2,1.2,1.0,0.6,portemi01
4,Aaron Gordon,27,5,5,163,23,46,4,12,17,19,15,20,35,9,3,1,5,23,67,.500,.333,.895,32.7,13.4,7.0,1.8,0.6,0.2,gordoaa01
5,Bruce Brown,26,5,0,135,22,41,3,14,10,11,3,17,20,12,6,2,9,11,57,.537,.214,.909,27.0,11.4,4.0,2.4,1.2,0.4,brownbr01
6,Kentavious Caldwell-Pope,29,5,5,165,19,44,8,22,6,7,2,12,14,7,6,2,6,12,52,.432,.364,.857,33.0,10.4,2.8,1.4,1.2,0.4,caldwke01
7,Jeff Green,36,5,0,113,8,23,2,10,1,3,1,6,7,7,3,4,4,14,19,.348,.200,.333,22.5,3.8,1.4,1.4,0.6,0.8,greenje02
8,Christian Braun,21,5,0,63,7,11,2,4,1,2,3,6,9,4,0,1,2,6,17,.636,.500,.500,12.7,3.4,1.8,0.8,0.0,0.2,braunch01
9,DeAndre Jordan,34,3,0,10,2,3,0,0,1,2,0,4,4,1,0,0,2,2,5,.667,,.500,3.5,1.7,1.3,0.3,0.0,0.0,jordade01
10,Zeke Nnaji,22,1,0,4,2,2,1,1,0,0,0,1,1,0,1,0,1,0,5,1.000,1.000,,4.3,5.0,1.0,0.0,1.0,0.0,nnajize01
11,Vlatko Čančar,25,1,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,.000,.000,,2.1,0.0,1.0,0.0,0.0,0.0,cancavl01
12,Reggie Jackson,32,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,,4.3,0.0,0.0,1.0,1.0,0.0,jacksre01
13,Ish Smith,34,1,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,.000,,,4.3,0.0,1.0,0.0,0.0,0.0,smithis01
14,Peyton Watson,20,1,0,4,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,.000,.000,,4.3,0.0,1.0,1.0,0.0,0.0,watsope01
,Team Totals,26.8,5,,1225,211,439,63,162,86,109,51,173,224,125,36,17,60,115,571,.481,.389,.789,245.0,114.2,44.8,25.0,7.2,3.4,-9999
