Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Jamal Murray,42:40,11,25,.440,6,14,.429,2,2,1.000,3,4,7,7,1,0,4,0,30,22.1,-4,murraja01
Nikola Jokić,40:16,8,20,.400,1,7,.143,7,7,1.000,0,15,15,8,0,1,3,3,24,19.8,+1,jokicni01
Aaron Gordon,36:53,3,9,.333,1,4,.250,1,2,.500,0,7,7,4,0,0,0,4,8,5.8,-1,gordoaa01
Christian Braun,35:21,5,9,.556,1,3,.333,5,7,.714,0,3,3,5,2,0,0,1,16,16.9,+4,braunch01
Cameron Johnson,28:09,5,10,.500,1,6,.167,2,2,1.000,0,1,1,2,1,0,0,5,13,8.7,-10,johnsca02
Tim Hardaway Jr.,27:21,4,9,.444,3,3,1.000,5,8,.625,1,2,3,0,1,0,0,3,16,11.2,+4,hardati02
Bruce Brown,16:28,2,4,.500,2,4,.500,1,2,.500,0,3,3,2,0,0,1,3,7,4.7,-11,brownbr01
Spencer Jones,9:59,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,3,0,-1.6,-4,jonessp01
Jonas Valančiūnas,2:54,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0,0.2,-4,valanjo01
