,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Anthony Edwards,21,5,5,199,55,114,15,43,33,39,3,22,25,26,9,10,8,13,158,.482,.349,.846,39.7,31.6,5.0,5.2,1.8,2.0,edwaran01
2,Karl-Anthony Towns,27,5,5,180,32,70,6,24,21,28,6,45,51,10,3,4,18,21,91,.457,.250,.750,36.0,18.2,10.2,2.0,0.6,0.8,townska01
3,Rudy Gobert,30,5,5,177,29,46,0,0,17,27,18,43,61,10,2,5,8,24,75,.630,,.630,35.4,15.0,12.2,2.0,0.4,1.0,goberru01
4,Mike Conley,35,5,5,183,20,42,10,22,10,11,2,11,13,32,3,0,7,11,60,.476,.455,.909,36.6,12.0,2.6,6.4,0.6,0.0,conlemi01
5,Nickeil Alexander-Walker,24,5,4,148,15,35,10,25,2,3,1,9,10,7,3,1,4,9,42,.429,.400,.667,29.6,8.4,2.0,1.4,0.6,0.2,alexani01
6,Taurean Prince,28,5,1,100,12,33,8,21,7,9,3,4,7,4,3,1,5,9,39,.364,.381,.778,20.0,7.8,1.4,0.8,0.6,0.2,princta02
7,Kyle Anderson,29,4,0,104,15,30,2,6,2,2,3,13,16,18,7,2,6,13,34,.500,.333,1.000,25.9,8.5,4.0,4.5,1.8,0.5,anderky01
8,Jaylen Nowell,23,5,0,62,6,26,3,9,1,2,4,1,5,3,0,0,2,4,16,.231,.333,.500,12.4,3.2,1.0,0.6,0.0,0.0,nowelja01
9,Austin Rivers,30,4,0,46,4,8,2,6,0,0,1,4,5,1,1,0,1,1,10,.500,.333,,11.6,2.5,1.3,0.3,0.3,0.0,riverau01
10,Nathan Knight,25,2,0,5,1,4,0,2,0,0,1,0,1,0,0,0,1,0,2,.250,.000,,2.4,1.0,0.5,0.0,0.0,0.0,knighna01
11,Jordan McLaughlin,26,2,0,14,0,4,0,2,0,0,0,2,2,2,0,0,0,2,0,.000,.000,,7.1,0.0,1.0,1.0,0.0,0.0,mclaujo01
12,Josh Minott,20,1,0,6,0,1,0,1,0,0,0,0,0,0,2,1,1,1,0,.000,.000,,6.3,0.0,0.0,0.0,2.0,1.0,minotjo01
13,Wendell Moore Jr.,21,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,2.1,0.0,0.0,0.0,0.0,0.0,moorewe01
,Team Totals,26.6,5,,1225,189,413,56,161,93,121,42,154,196,113,33,24,64,108,527,.458,.348,.769,245.0,105.4,39.2,22.6,6.6,4.8,-9999
