Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,-9999
Jamal Murray,42:40,.580,.560,.560,.080,7.5,9.6,8.6,30.7,1.1,0.0,13.4,31.1,107,117,5.3,murraja01
Nikola Jokić,40:16,.520,.425,.350,.350,0.0,38.0,19.4,33.5,0.0,2.1,11.5,28.7,104,112,3.2,jokicni01
Aaron Gordon,36:53,.405,.389,.444,.222,0.0,19.4,9.9,15.3,0.0,0.0,0.0,11.9,97,117,-4.5,gordoaa01
Christian Braun,35:21,.662,.611,.333,.778,0.0,8.7,4.4,21.8,2.6,0.0,0.0,15.2,144,114,7.3,braunch01
Cameron Johnson,28:09,.597,.550,.600,.200,0.0,3.6,1.9,11.6,1.7,0.0,0.0,17.1,121,116,-0.8,johnsca02
Tim Hardaway Jr.,27:21,.639,.611,.333,.889,3.9,7.5,5.7,0.0,1.7,0.0,0.0,20.3,126,116,2.4,hardati02
Bruce Brown,16:28,.717,.750,1.000,.500,0.0,18.6,9.5,18.1,0.0,0.0,17.0,15.8,117,117,1.0,brownbr01
Spencer Jones,9:59,,,,,0.0,20.5,10.5,0.0,0.0,0.0,100.0,4.4,0,115,-13.5,jonessp01
Jonas Valančiūnas,2:54,,,,,36.8,35.2,36.0,0.0,0.0,0.0,,0.0,231,110,-14.1,valanjo01
