Rk,Player,PTS/100 Poss.,MP,USG%,TS%,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
109,Myles Turner,21.8,1912,18.7,.584,2025-26,29,MIL,71,71,0,3.0,113,117,1.2,1.8,.076,-0.9,0.0,-0.9,0.5,14.2,4.5,17.8,11.2,7.7,1.3,6.0,10.3,18.7,C-F,turnemy01
110,Mikal Bridges,21.7,2692,17.3,.587,2025-26,29,NYK,81,81,0,8.1,125,114,4.7,3.4,.144,1.3,1.4,2.7,3.2,15.3,3.3,9.7,6.5,15.9,2.0,2.3,7.6,17.3,F-G,bridgmi01
111,Kelly Oubre Jr.,21.6,1551,18.1,.580,2025-26,30,PHI,49,40,0,2.6,114,116,1.1,1.6,.082,-1.2,-0.2,-1.4,0.2,13.0,3.5,14.0,8.7,7.3,2.0,1.4,10.1,18.1,F,oubreke01
112,Jay Huff,21.6,1695,18.0,.597,2025-26,27,IND,81,47,0,3.2,114,115,1.3,1.9,.089,-0.8,1.3,0.4,1.0,15.2,4.5,16.3,10.3,10.3,1.1,7.5,10.2,18.0,C-F,huffja01
113,P.J. Washington,21.6,1736,20.1,.537,2025-26,27,DAL,56,53,0,1.6,105,115,-0.3,2.0,.045,-1.8,0.1,-1.7,0.1,13.1,5.2,18.8,12.0,8.2,1.5,2.9,11.3,20.1,F,washipj01
114,Duncan Robinson,21.5,2091,15.8,.627,2025-26,31,DET,76,76,0,6.1,129,115,3.7,2.3,.140,0.9,-0.1,0.8,1.5,12.4,1.6,9.2,5.4,10.1,1.0,1.0,6.7,15.8,G-F,robindu01
115,Jarace Walker,21.5,1953,20.7,.543,2025-26,22,IND,76,41,0,0.6,102,118,-1.0,1.6,.014,-1.8,-0.7,-2.5,-0.2,11.6,2.7,19.4,10.9,14.3,1.5,1.1,14.6,20.7,F,walkeja02
116,Dennis Schröder,21.5,1697,21.1,.526,2025-26,32,CLESAC,70,17,0,1.5,110,121,0.8,0.7,.043,-0.9,-1.3,-2.2,-0.1,12.9,2.1,10.5,6.2,27.7,1.6,0.6,14.7,21.1,G,schrode01
117,Isaiah Collier,21.3,1517,20.5,.567,2025-26,21,UTA,59,19,0,1.7,114,123,1.4,0.3,.053,-0.6,-1.8,-2.4,-0.2,14.8,1.5,9.4,5.3,39.2,2.0,1.3,19.6,20.5,G,colliis01
118,Donovan Clingan,21.2,2070,16.8,.603,2025-26,21,POR,76,76,0,8.5,131,110,5.0,3.4,.196,2.4,0.7,3.0,2.6,20.9,17.6,28.7,23.1,11.5,1.0,5.5,11.0,16.8,C,clingdo01
119,Kevin Huerter,21.0,1529,18.8,.550,2025-26,27,CHIDET,68,14,0,2.4,111,115,0.7,1.7,.075,-1.2,0.5,-0.7,0.5,13.0,2.4,14.2,8.4,16.1,1.9,1.9,10.5,18.8,G,huertke01
120,Nic Claxton,20.9,1920,17.7,.592,2025-26,26,BRK,69,68,0,4.9,123,118,3.3,1.6,.122,0.3,0.6,0.9,1.4,17.6,9.7,19.8,14.5,21.8,1.2,3.7,12.3,17.7,C,claxtni01
121,Neemias Queta,20.4,1926,14.7,.674,2025-26,26,BOS,76,75,0,9.0,138,109,5.4,3.5,.224,0.9,1.9,2.8,2.4,20.3,13.4,22.7,18.2,9.2,1.6,5.2,11.5,14.7,C,quetane01
122,Ron Holland,20.1,1530,19.0,.527,2025-26,20,DET,77,5,0,2.8,106,108,-0.1,2.9,.089,-3.3,1.4,-1.9,0.1,11.9,6.2,16.4,11.4,8.2,2.9,1.7,13.6,19.0,F,hollaro01
123,Pelle Larsson,20.1,1849,16.8,.605,2025-26,24,MIA,70,54,0,4.1,121,118,2.6,1.5,.106,-1.2,-0.1,-1.3,0.3,13.1,3.8,9.9,6.8,16.9,1.2,0.8,13.3,16.8,G,larsspe01
124,Precious Achiuwa,20.1,1710,17.3,.560,2025-26,26,SAC,72,56,0,2.9,117,119,1.7,1.2,.081,-0.5,-1.0,-1.6,0.2,16.1,11.0,20.8,15.7,8.3,1.8,2.6,9.0,17.3,F,achiupr01
125,Tari Eason,19.9,1525,18.5,.513,2025-26,24,HOU,59,33,0,2.8,110,112,0.6,2.3,.089,-1.8,0.2,-1.6,0.2,12.8,9.0,17.7,13.4,7.8,2.4,1.7,11.8,18.5,F,easonta01
126,Max Christie,19.7,2232,16.4,.599,2025-26,22,DAL,76,67,0,2.6,113,120,1.3,1.4,.057,-1.1,-0.6,-1.7,0.2,10.9,0.7,11.0,5.9,9.3,1.0,0.9,10.9,16.4,G,chrisma02
127,Josh Hart,19.7,1994,16.7,.612,2025-26,30,NYK,66,52,0,6.1,122,112,3.1,3.0,.147,1.0,2.0,3.0,2.5,15.7,5.2,22.1,13.6,21.6,1.9,0.9,16.5,16.7,F-G,hartjo01
128,Wendell Carter Jr.,19.6,2257,15.7,.621,2025-26,26,ORL,77,77,0,6.3,124,114,3.5,2.8,.133,-0.9,0.4,-0.5,0.9,14.3,7.8,20.4,14.1,9.6,1.3,1.9,11.7,15.7,C,cartewe01
129,Cameron Johnson,19.6,1647,15.1,.629,2025-26,29,DEN,54,54,0,3.7,126,120,2.7,1.0,.108,0.3,-0.9,-0.7,0.6,12.8,3.1,10.6,7.0,10.6,1.2,1.2,8.2,15.1,F,johnsca02
130,Rui Hachimura,19.5,1898,15.1,.616,2025-26,27,LAL,67,40,0,3.0,120,120,1.9,1.1,.075,-0.9,-1.5,-2.4,-0.2,11.4,2.5,10.6,6.7,4.2,1.0,1.0,6.4,15.1,F,hachiru01
131,Julian Champagnie,19.4,2241,15.2,.610,2025-26,24,SAS,81,67,0,6.2,122,111,2.8,3.4,.134,0.6,0.9,1.4,2.0,13.1,3.6,18.5,11.3,7.3,1.3,1.5,8.4,15.2,F,champju02
132,Brook Lopez,19.3,1613,17.2,.553,2025-26,37,LAC,74,39,0,2.3,110,115,0.6,1.7,.069,-1.3,0.4,-0.9,0.5,12.3,3.3,15.6,9.6,8.6,1.4,5.1,9.6,17.2,C,lopezbr01
133,Tristan Da Silva,19.3,1876,16.3,.576,2025-26,24,ORL,76,34,0,3.3,114,115,1.3,2.0,.085,-0.7,0.1,-0.6,0.7,12.0,3.4,13.2,8.3,9.3,1.7,1.2,9.3,16.3,F,dasiltr01
134,Toumani Camara,19.2,2698,16.3,.579,2025-26,25,POR,81,81,0,4.7,115,116,2.0,2.6,.083,-1.0,0.0,-1.0,0.7,11.3,5.0,11.8,8.4,10.5,1.7,1.2,13.3,16.3,F,camarto01
135,Donte DiVincenzo,19.2,2487,16.9,.569,2025-26,29,MIN,81,81,0,5.3,116,114,2.3,2.9,.101,0.0,0.7,0.8,1.8,12.5,3.0,11.6,7.4,16.7,2.0,1.2,11.9,16.9,G,divindo01
136,Jordan Goodwin,19.1,1572,17.5,.525,2025-26,27,PHO,70,10,0,3.8,116,111,1.5,2.4,.117,0.3,1.4,1.7,1.5,14.7,9.4,14.9,12.1,13.7,3.3,0.9,10.5,17.5,G,goodwjo01
137,Sam Hauser,18.8,1934,14.5,.590,2025-26,28,BOS,78,49,0,5.0,126,115,2.9,2.1,.123,0.6,0.0,0.6,1.2,12.0,3.3,13.6,8.5,7.9,1.0,1.2,5.4,14.5,F,hausesa01
138,Luke Kennard,18.6,1670,13.5,.688,2025-26,29,ATLLAL,77,5,0,4.6,132,118,3.2,1.4,.131,0.1,0.1,0.2,0.9,13.5,2.2,10.0,6.1,13.8,1.6,0.4,11.1,13.5,G,kennalu01
139,Harrison Barnes,18.4,1961,14.6,.609,2025-26,33,SAS,76,52,0,4.8,124,115,2.7,2.1,.118,-0.1,0.1,0.0,1.0,11.8,3.5,8.0,5.8,9.7,1.2,0.5,9.0,14.6,F,barneha02
140,Ausar Thompson,18.4,1874,17.0,.544,2025-26,23,DET,72,71,0,5.6,114,105,1.5,4.1,.143,-0.6,3.6,3.1,2.4,16.2,9.0,15.6,12.4,16.2,3.7,3.6,14.2,17.0,G,thompau01
141,Bub Carrington,18.2,2233,17.9,.557,2025-26,20,WAS,81,47,0,-0.4,105,126,-0.3,-0.1,-0.009,-2.2,-2.5,-4.7,-1.5,9.9,1.6,11.8,6.6,22.8,1.1,0.6,19.6,17.9,G,carrica01
142,A.J. Green,17.4,2234,13.9,.628,2025-26,26,MIL,77,67,0,2.4,119,123,2.0,0.4,.051,-1.4,-1.8,-3.3,-0.7,9.4,1.4,9.0,5.3,9.2,0.8,0.4,10.3,13.9,G,greenaj01
143,Royce O'Neale,17.1,2213,14.3,.596,2025-26,32,PHO,78,67,0,4.6,117,114,1.9,2.7,.099,-0.3,0.9,0.6,1.5,11.6,2.9,16.3,9.3,12.9,1.9,1.4,13.8,14.3,F,onealro01
144,Cody Williams,16.9,1591,15.9,.527,2025-26,21,UTA,66,40,0,0.1,107,124,0.0,0.1,.004,-3.6,-1.9,-5.5,-1.4,9.6,4.0,9.4,6.6,11.2,1.4,1.6,11.7,15.9,G-F,willico04
145,Dyson Daniels,16.9,2520,16.0,.542,2025-26,22,ATL,76,76,0,6.7,119,112,3.1,3.7,.128,-0.5,1.9,1.3,2.1,15.5,7.8,14.7,11.2,23.9,2.8,1.1,14.0,16.0,G,daniedy01
146,Rudy Gobert,16.6,2380,12.9,.664,2025-26,33,MIN,76,76,0,8.8,132,110,4.8,4.0,.177,0.0,0.9,1.0,1.8,17.6,14.1,26.0,20.2,7.2,1.2,4.5,14.5,12.9,C,goberru01
147,Nique Clifford,16.3,1843,17.0,.498,2025-26,23,SAC,74,27,0,-0.7,99,122,-1.3,0.6,-0.017,-3.9,-1.2,-5.0,-1.4,8.8,3.8,13.1,8.3,12.9,1.8,1.1,15.2,17.0,G,cliffni01
148,Isaac Okoro,16.1,1695,13.7,.574,2025-26,25,CHI,63,62,0,2.2,118,121,1.4,0.8,.062,-3.0,-0.8,-3.8,-0.8,9.8,4.4,6.4,5.4,7.8,1.3,1.5,8.3,13.7,G-F,okorois01
149,Jake LaRavia,16.1,2037,14.5,.573,2025-26,24,LAL,81,43,0,3.7,116,116,1.7,2.1,.088,-1.6,0.4,-1.2,0.4,11.9,6.9,11.5,9.3,9.2,2.4,1.7,12.9,14.5,F,laravja01
150,Marcus Smart,16.1,1743,15.4,.547,2025-26,31,LAL,61,53,0,2.0,109,117,0.4,1.6,.054,-2.8,0.6,-2.2,-0.1,9.9,2.5,8.7,5.7,13.1,2.4,1.2,14.5,15.4,G,smartma01
151,Bruce Brown,15.7,1970,14.5,.558,2025-26,29,DEN,81,3,0,2.8,113,117,1.0,1.7,.068,-2.6,0.1,-2.5,-0.3,10.7,5.1,12.5,8.9,11.1,2.1,0.9,13.6,14.5,G-F,brownbr01
152,Cason Wallace,15.6,2046,14.5,.538,2025-26,22,OKC,77,58,0,5.3,112,106,1.0,4.3,.124,-2.0,3.3,1.3,1.7,12.2,3.5,8.9,6.3,12.7,3.5,1.3,10.6,14.5,G,wallaca01
153,Dominick Barlow,15.6,1669,12.8,.594,2025-26,22,PHI,70,59,0,3.8,123,116,2.1,1.7,.110,-1.5,0.4,-1.2,0.3,13.2,8.6,13.5,11.0,7.0,1.8,3.0,10.8,12.8,F,barlodo01
154,Moussa Diabaté,15.1,1873,11.5,.653,2025-26,24,CHO,72,46,0,7.3,139,112,4.6,2.7,.187,0.4,1.2,1.6,1.7,17.2,16.5,21.1,18.9,10.1,1.5,3.4,14.3,11.5,F,diabamo01
155,Davion Mitchell,15.1,1975,13.7,.578,2025-26,27,MIA,69,69,0,4.2,122,118,2.6,1.6,.103,-1.3,0.4,-0.9,0.5,12.0,1.7,8.0,4.8,29.5,1.6,0.5,16.1,13.7,G,mitchda01
156,Luguentz Dort,15.1,1829,14.1,.524,2025-26,26,OKC,68,68,0,3.0,106,110,0.0,3.0,.080,-2.7,0.8,-1.9,0.1,8.2,3.5,10.7,7.2,5.9,1.6,1.4,9.0,14.1,G,dortlu01
157,Herbert Jones,15.0,1588,15.2,.491,2025-26,27,NOP,56,56,0,0.7,103,118,-0.4,1.2,.022,-3.7,0.6,-3.2,-0.5,9.1,3.2,9.8,6.5,12.9,2.7,1.6,12.6,15.2,F,joneshe01
158,Draymond Green,14.8,1869,16.1,.540,2025-26,35,GSW,68,68,0,1.7,104,115,-0.4,2.1,.044,-2.4,1.0,-1.3,0.3,10.4,3.2,19.5,11.2,27.2,1.6,2.1,25.5,16.1,F,greendr01
159,Terance Mann,14.7,1529,13.5,.564,2025-26,29,BRK,63,51,0,1.8,116,121,1.2,0.6,.057,-2.7,-0.7,-3.4,-0.6,10.2,5.1,10.4,7.6,18.6,1.3,0.9,15.0,13.5,G-F,mannte01
160,Oso Ighodaro,14.6,1795,12.2,.638,2025-26,23,PHO,81,23,0,4.6,122,112,2.1,2.5,.123,-2.3,2.2,-0.1,0.9,13.7,8.1,17.7,12.8,14.0,2.0,2.9,19.4,12.2,F,ighodos01
161,Jamal Shead,14.4,1832,15.4,.491,2025-26,23,TOR,81,12,0,2.7,111,116,0.8,1.9,.070,-2.3,0.0,-2.3,-0.1,10.6,1.6,7.3,4.4,30.7,2.0,0.7,16.7,15.4,G,sheadja01
162,Kris Dunn,13.3,2208,12.4,.583,2025-26,31,LAC,81,67,0,4.0,117,116,1.7,2.2,.087,-2.3,1.4,-0.8,0.7,11.4,3.1,10.9,7.1,17.9,2.9,0.6,17.7,12.4,G,dunnkr01
163,Sion James,11.8,1822,11.0,.529,2025-26,23,CHO,81,19,0,3.0,116,116,1.1,1.9,.079,-3.0,1.0,-2.0,0.0,8.2,3.1,14.2,8.7,11.4,1.4,1.0,13.3,11.0,G,jamessi01
