Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2022-23,20,DEN,NBA,SG,23,2,186,7.6,15.5,.492,1.6,3.7,.429,6.0,11.8,.511,.542,2.9,5.3,.550,2.1,7.6,9.7,2.9,0.5,2.9,2.1,3.7,19.7,109,114
2023-24,21,DEN,NBA,SF,80,4,1488,6.9,14.9,.465,1.5,5.1,.296,5.4,9.8,.553,.516,2.4,3.5,.670,1.9,6.7,8.6,2.9,1.4,2.9,1.9,4.8,17.7,108,111
2024-25,22,DEN,NBA,SF,68,18,1656,5.9,12.4,.477,1.4,3.9,.353,4.5,8.5,.534,.533,2.8,4.0,.693,1.4,5.4,6.8,2.7,1.4,2.7,1.6,3.6,16.0,113,116
2025-26,23,DEN,NBA,SF,54,40,1598,8.7,17.7,.491,2.5,6.0,.411,6.2,11.7,.531,.560,4.2,5.8,.730,1.5,6.6,8.1,3.4,1.5,1.9,2.8,4.2,24.1,112,116
