,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Julius Randle,31,6,6,202,.522,.462,5.4,19.6,12.5,18.4,0.5,0.5,12.7,26.5,107,111,12.4,randlju01
2,Ayo Dosunmu,26,5,1,162,.749,.703,4.2,5.6,4.9,19.3,0.6,0.5,8.8,20.9,145,114,18.0,dosunay01
3,Jaden McDaniels,25,6,6,217,.545,.506,8.6,12.7,10.5,11.0,0.7,1.7,9.2,21.2,114,111,12.8,mcdanja02
4,Anthony Edwards,24,4,4,119,.485,.418,0.9,23.2,11.9,15.4,0.4,4.2,8.4,29.8,99,107,11.4,edwaran01
5,Naz Reid,26,6,0,148,.524,.517,6.1,27.0,16.3,11.9,1.0,0.6,15.1,21.0,101,109,7.2,reidna01
6,Rudy Gobert,33,6,6,208,.529,.528,11.4,22.9,17.2,11.1,1.9,3.1,15.5,10.6,117,105,10.5,goberru01
7,Donte DiVincenzo,29,4,4,96,.654,.672,0.0,16.5,8.2,23.1,3.5,0.0,10.8,16.4,123,103,10.2,divindo01
8,Bones Hyland,25,6,0,82,.573,.529,3.0,9.2,6.1,21.2,1.8,0.0,13.8,22.4,107,111,4.8,hylanbo01
9,Terrence Shannon Jr.,25,3,1,56,.624,.581,3.7,11.8,7.5,2.8,1.9,0.0,2.9,26.2,132,113,9.9,shannte01
10,Mike Conley,38,6,2,79,.559,.559,1.3,12.7,6.6,25.0,2.6,0.0,15.0,10.7,126,111,3.4,conlemi01
11,Kyle Anderson,32,5,0,35,.286,.286,4.1,11.0,7.5,29.8,2.6,0.0,41.7,14.2,72,112,0.5,anderky01
12,Jaylen Clark,24,2,0,24,.375,.375,4.4,11.5,8.0,10.2,0.0,3.8,0.0,7.2,119,116,1.0,clarkja02
13,Joan Beringer,19,2,0,4,.532,.000,19.4,39.0,39.2,0.0,12.8,0.0,34.7,33.2,106,90,1.5,berinjo01
14,Joe Ingles,38,2,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,122,0.0,inglejo01
15,Julian Phillips,22,2,0,4,,,0.0,23.9,12.1,0.0,11.3,0.0,,0.0,,90,0.7,phillju01
,Team Totals,28.5,6,,1440,.563,.526,27.7,83.4,55.2,62.4,6.6,6.5,11.9,,113.8,109.3,,-9999
