player,split,mp,team_eFG,team_ORB,team_DRB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_Pace,team_ORtg,opp_eFG,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_Pace,opp_ORtg,diff_eFG,diff_ORB,diff_DRB,diff_TRB,diff_AST,diff_STL,diff_BLK,diff_TOV,diff_Pace,diff_ORtg
Jose Alvarado,On - Off,12%,+.019,+2.5,-0.9,+2.2,+4.2,+1.0,+0.1,+1.3,-3.7,+2.5,-.020,+0.9,-2.5,-2.2,+1.8,+1.8,+1.3,+1.1,-2.9,-4.1,+.039,+1.6,+1.6,+4.5,+2.3,-0.9,-1.2,+0.1,-0.8,+6.6
Guerschon Yabusele,On Court,366,.546,28.7,74.1,51.7,60.4,7.3,10.8,15.2,96.7,116.0,.527,25.9,71.3,48.3,61.6,8.5,8.5,14.1,95.8,116.0,+.019,+2.8,+2.8,+3.4,-1.1,-1.3,+2.3,+1.1,+0.9,0.0
Guerschon Yabusele,Off Court,3586,.558,29.4,77.0,53.1,64.7,8.5,8.0,14.0,96.4,120.7,.542,23.0,70.6,46.9,63.8,7.4,8.4,14.9,96.8,113.2,+.016,+6.4,+6.4,+6.2,+0.9,+1.1,-0.4,-0.9,-0.4,+7.5
Guerschon Yabusele,On - Off,9%,-.012,-0.7,-2.9,-1.4,-4.3,-1.2,+2.8,+1.2,+0.3,-4.7,-.015,+2.9,+0.7,+1.4,-2.2,+1.1,+0.1,-0.8,-1.0,+2.8,+.003,-3.6,-3.6,-2.8,-2.0,-2.4,+2.7,+2.0,+1.3,-7.5
Kevin McCullar Jr.,On Court,155,.493,25.0,71.5,47.9,67.2,8.8,3.7,14.2,94.0,105.3,.521,28.5,75.0,52.1,63.1,7.9,11.8,13.4,99.3,114.1,-.028,-3.5,-3.5,-4.1,+4.2,+0.8,-8.1,+0.8,-5.3,-8.8
Kevin McCullar Jr.,Off Court,3798,.560,29.5,76.9,53.2,64.2,8.3,8.5,14.1,96.5,120.9,.541,23.1,70.5,46.8,63.6,7.5,8.3,14.9,96.6,113.4,+.018,+6.5,+6.5,+6.3,+0.6,+0.9,+0.2,-0.8,-0.1,+7.5
Kevin McCullar Jr.,On - Off,4%,-.067,-4.5,-5.4,-5.3,+3.0,+0.5,-4.8,+0.1,-2.5,-15.6,-.020,+5.4,+4.5,+5.3,-0.5,+0.4,+3.5,-1.5,+2.7,+0.7,-.046,-10.0,-10.0,-10.4,+3.6,-0.1,-8.3,+1.6,-5.2,-16.3
Pacôme Dadiet,On Court,136,.500,28.7,76.9,52.9,69.4,9.2,6.5,16.2,96.0,104.4,.519,23.1,71.3,47.1,66.0,7.0,8.6,16.1,96.4,105.5,-.019,+5.6,+5.6,+5.8,+3.4,+2.2,-2.1,+0.1,-0.4,-1.1
Pacôme Dadiet,Off Court,3817,.559,29.4,76.7,53.0,64.1,8.3,8.4,14.0,96.4,120.8,.541,23.3,70.6,47.0,63.5,7.5,8.4,14.8,96.7,113.7,+.018,+6.1,+6.1,+5.9,+0.6,+0.8,-0.1,-0.8,-0.3,+7.1
Pacôme Dadiet,On - Off,3%,-.059,-0.7,+0.2,-0.1,+5.3,+0.9,-1.9,+2.2,-0.4,-16.4,-.022,-0.2,+0.7,+0.1,+2.5,-0.5,+0.2,+1.3,-0.3,-8.2,-.037,-0.5,-0.5,-0.1,+2.8,+1.4,-2.0,+0.9,-0.1,-8.2
Jeremy Sochan,On Court,111,.567,35.7,77.9,57.4,69.3,11.8,4.0,16.1,96.9,119.2,.518,22.1,64.3,42.6,65.1,8.5,9.3,18.0,98.6,102.2,+.048,+13.6,+13.6,+14.9,+4.2,+3.4,-5.3,-1.9,-1.7,+17.0
Jeremy Sochan,Off Court,3842,.557,29.2,76.7,52.8,64.1,8.3,8.4,14.0,96.4,120.3,.541,23.3,70.8,47.2,63.6,7.5,8.4,14.7,96.6,113.8,+.016,+5.9,+5.9,+5.6,+0.6,+0.8,0.0,-0.7,-0.2,+6.5
Jeremy Sochan,On - Off,3%,+.010,+6.5,+1.2,+4.6,+5.2,+3.5,-4.4,+2.1,+0.5,-1.1,-.023,-1.2,-6.5,-4.6,+1.5,+1.0,+0.9,+3.3,+2.0,-11.6,+.032,+7.7,+7.7,+9.3,+3.6,+2.6,-5.3,-1.2,-1.5,+10.5
Trey Jemison,On Court,82,.493,24.4,71.6,46.8,63.5,8.3,3.9,16.2,97.7,103.0,.569,28.4,75.6,53.2,62.7,7.2,10.8,14.2,98.8,118.9,-.075,-4.0,-4.0,-6.4,+0.8,+1.1,-6.9,+2.0,-1.1,-15.9
Trey Jemison,Off Court,3871,.559,29.5,76.8,53.1,64.3,8.4,8.4,14.0,96.4,120.6,.540,23.2,70.5,46.9,63.6,7.5,8.4,14.8,96.6,113.3,+.019,+6.3,+6.3,+6.2,+0.7,+0.9,0.0,-0.8,-0.2,+7.3
Trey Jemison,On - Off,2%,-.066,-5.1,-5.2,-6.3,-0.8,-0.1,-4.5,+2.2,+1.3,-17.6,+.029,+5.2,+5.1,+6.3,-0.9,-0.3,+2.4,-0.6,+2.2,+5.6,-.094,-10.3,-10.3,-12.6,+0.1,+0.2,-6.9,+2.8,-0.9,-23.2
Dillon Jones,On Court,40,.584,32.4,79.4,54.9,59.0,8.9,3.0,13.8,97.0,122.5,.531,20.6,67.6,45.1,48.3,6.3,11.6,13.9,95.8,113.9,+.054,+11.8,+11.8,+9.9,+10.7,+2.6,-8.6,-0.2,+1.2,+8.6
Dillon Jones,Off Court,3913,.557,29.3,76.7,52.9,64.3,8.4,8.3,14.1,96.4,120.2,.541,23.3,70.7,47.1,63.7,7.5,8.4,14.8,96.7,113.4,+.016,+6.0,+6.0,+5.9,+0.6,+0.8,-0.1,-0.7,-0.3,+6.8
Dillon Jones,On - Off,1%,+.027,+3.1,+2.7,+2.0,-5.3,+0.5,-5.3,-0.3,+0.6,+2.3,-.010,-2.7,-3.1,-2.0,-15.4,-1.2,+3.2,-0.9,-0.9,+0.5,+.038,+5.8,+5.8,+4.0,+10.1,+1.8,-8.5,+0.5,+1.5,+1.8
Tosan Evbuomwan,On Court,8,.192,33.3,60.0,47.4,50.0,0.0,0.0,20.0,93.5,60.0,.375,40.0,66.7,52.6,33.3,13.3,28.6,5.9,106.0,100.0,-.183,-6.7,-6.7,-5.3,+16.7,-13.3,-28.6,+14.1,-12.5,-40.0
Tosan Evbuomwan,Off Court,3945,.558,29.3,76.8,53.0,64.3,8.4,8.3,14.1,96.4,120.4,.541,23.2,70.7,47.0,63.7,7.5,8.4,14.8,96.7,113.5,+.017,+6.1,+6.1,+5.9,+0.6,+0.9,-0.1,-0.8,-0.3,+6.9
Tosan Evbuomwan,On - Off,0%,-.366,+4.0,-16.8,-5.6,-14.3,-8.4,-8.3,+5.9,-2.9,-60.4,-.166,+16.8,-4.0,+5.6,-30.4,+5.8,+20.2,-8.9,+9.3,-13.5,-.200,-12.8,-12.8,-11.2,+16.1,-14.2,-28.5,+14.9,-12.2,
