Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2022-23,19,DET,NBA,C,67,31,1670,7.5,11.6,.648,0.0,0.1,.000,7.5,11.5,.652,.648,2.8,4.6,.611,6.6,10.6,17.3,2.2,1.3,1.7,2.7,5.3,17.8,126,116
2023-24,20,DET,NBA,C,61,60,1777,9.4,15.3,.619,0.0,0.1,.000,9.4,15.2,.623,.619,3.9,4.9,.790,5.2,14.0,19.2,4.0,0.9,1.3,3.5,5.2,22.8,122,115
2024-25,21,DET,NBA,C,78,78,2034,8.9,12.9,.692,0.0,0.0,,8.9,12.9,.692,.692,3.8,5.7,.669,6.5,12.5,19.1,4.9,1.3,2.1,3.2,5.9,21.7,134,109
2025-26,22,DET,NBA,C,70,70,1976,12.8,19.7,.650,0.0,0.0,,12.8,19.7,.650,.650,7.9,10.5,.747,6.5,11.6,18.0,3.4,1.4,1.4,3.2,4.8,33.4,134,108
