Period,Season,G,W,L,WinPct,ORtg,DRtg,NetRtg,FTr,3PAr,TS,eFG
Before,2025-26,52,32,20,0.615,118.0,113.2,4.8,0.289,0.427,0.595,0.563
After,2025-26,30,17,13,0.567,114.7,114.0,0.7,0.279,0.407,0.586,0.552
