Rk,Player,PTS/100 Poss.,MP/G,G,USG%,TS%,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
25,Caleb Wilson,36.6,31.2,20,28.2,.629,2025-26,North Carolina,20,20,4.3,130,94,2.7,1.7,.277,8.8,5.2,14.0,31.6,11.7,22.5,17.5,18.4,2.9,4.6,11.2,28.2,F,FR,caleb-wilson-1
26,Mister Dean,36.5,23.3,31,32.1,.591,2024-25,USC Upstate,31,27,2.5,108,104,1.5,1.1,.141,2.0,0.9,2.8,26.9,7.1,19.2,13.1,13.9,5.0,3.2,14.7,32.1,G,FR,mister-dean-1
27,Collin Sexton,36.5,29.9,33,32.9,.567,2017-18,Alabama,33,32,4.4,113,105,3.2,1.2,.177,5.8,1.1,6.9,23.5,4.1,9.8,7.0,27.8,1.6,0.3,14.2,32.9,G,FR,collin-sexton-1
28,Kyrie Irving,36.1,27.5,11,26.4,.697,2010-11,Duke,11,8,2.4,135,93,1.8,0.6,.320,9.8,5.0,14.8,32.5,2.3,10.6,6.7,29.8,3.0,1.8,16.4,26.4,G,FR,kyrie-irving-1
29,Madden Collins,36.1,21.5,22,31.8,.563,2025-26,American,22,0,2.2,113,100,1.2,1.0,.182,2.7,0.2,2.9,25.5,8.7,20.0,14.3,20.5,3.7,2.2,11.8,31.8,G,FR,madden-collins-1
30,Alex Wilkins,36.0,29.6,22,33.9,.558,2025-26,Furman,22,22,2.1,108,108,1.2,0.9,.128,0.4,-2.1,-1.7,17.5,1.1,6.6,4.0,36.2,1.5,0.5,19.0,33.9,G,FR,alex-wilkins-1
31,Josh Hubbard,35.9,27.7,35,29.9,.548,2023-24,Mississippi State,35,16,4.2,119,107,3.1,1.1,.174,6.7,0.8,7.5,19.7,1.1,7.8,4.4,13.6,1.4,0.5,7.1,29.9,G,FR,josh-hubbard-1
32,Marcus Evans,35.8,33.5,32,31.8,.585,2015-16,Rice,32,32,3.8,111,111,3.1,0.7,.140,3.1,-1.0,2.1,24.5,3.1,10.8,7.0,20.0,3.7,0.6,14.6,31.8,G,FR,marcus-evans-2
33,Markelle Fultz,35.7,35.7,25,31.4,.558,2016-17,Washington,25,25,3.9,116,111,3.3,0.6,.173,7.7,1.7,9.4,28.0,4.0,13.9,8.9,35.5,2.5,3.1,13.4,31.4,G,FR,markelle-fultz-1
34,Rob Dillingham,35.3,23.3,32,30.3,.595,2023-24,Kentucky,32,1,3.3,118,110,2.6,0.7,.174,5.6,0.7,6.2,23.5,1.2,11.8,6.8,29.7,2.4,0.3,13.5,30.3,G,FR,rob-dillingham-1
