Player,Team,Span Started,Span Ended,PTS,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,Trp-Dbl,DbDbs,TOV,PF,PTS,GmSc,+/-,BPM,Ind. Games Link,Player-additional
Desmond Bane,ORL,2025-11-10,2025-11-28,224,10,10,350,77,172,.448,58,115,.504,19,57,.333,51,53,.962,.573,14,34,48,49,11,3,0,0,24,27,224,16.6,73,1.5,Games List,banede01
Desmond Bane,ORL,2025-10-22,2025-11-09,142,10,10,304,53,123,.431,41,82,.500,12,41,.293,24,28,.857,.525,11,31,42,41,5,4,0,0,21,36,142,9.4,-9,-3.0,Games List,banede01
